Customer ID,Order ID,Product ID in Orders,Ordered by Customer ID,Times Reordered by Same Customer,Brand Name,Product Name,Weight
10058,12,202214350,10012,38,Colin,Gadget Cleaner Spray Sparkling Shine + Glass and Household Cleaner (each 500 ml),Combo 2 Items
10059,12,202214349,10012,25,Colin,TV & Gadget Cleaner Spray,500 ml  
10060,12,202214555,10012,44,Herbal Strategi,"Kitchen Cleaner, Disinfectant & Insect Repellent",500 ml 
10061,13,202214547,10013,41,BB Home,"Glass Cleaner, Streak Free Formulation",500 ml  
10062,13,202214553,10013,29,Colin,Gadget Cleaner Spray Sparkling Shine 500 ml + Lizol Multi-Purpose Cleaner 450 ml,Combo 2 Items
10063,13,202214552,10013,33,BB Home Herbal,Kitchen Cleaner,500 ml Bottle
10064,13,202214556,10013,37,bb Combo,Colin TV & Gadget Cleaner 500ml + Scotch Brite Microfibre Multipurpose Wipe 2Pcs,Combo 2 Items
10065,13,202214550,10013,37,bb Combo,Gadget Cleaner Spray Shine 250ml+Scotch Brite Microfibre Multipurpose Wipe 2Pcs,Combo 2 Items
10066,14,202214550,10014,26,BB Home,Glass Cleaner Refill,500 ml 
10067,14,202214556,10014,46,Mr Muscle,Glass & Household Cleaner - Trigger Bottle,500 ml 
10068,14,202214552,10014,43,BB Home Herbal,Glass Cleaner,500 ml Bottle
10069,14,202214552,10014,29,Frosch,"Glass Cleaner - Spirit, Trigger",500 ml 
10070,14,202214554,10014,31,PureCult,Glass Cleaner,500 ml 
10071,15,202214552,10015,0,Kolan,Kitchen Cleaner - Nature's Toughest,700 ml 
10072,15,202214552,10015,38,ECO365,"Water Saving Aerator - Switch, ABS Body",1 pc 
10073,15,202214555,10015,40,Kolan,No Streak Glass Cleaner,700 ml 
10074,15,202214556,10015,27,ECO365,"Water Shower Flow/Aerator - Blue, 3 LPM",4 pcs 
10075,15,202214555,10015,31,ECO365,"Water Saving Aerator, Switch",2 pcs 
10076,16,202214549,10016,16,Dr Rhazes,Concentrated Vegetable & Fruit Wash,500 ml (Pack of 2) 
10077,16,202214545,10016,0,Dr Rhazes,Germ Kill Spray Foam,110 ml (Pack of 2) 
10078,16,202214550,10016,34,Dr Rhazes,Germ Kill Spray Foam,250 ml (Pack of 2)
10079,16,202214550,10016,45,Dr Rhazes,Ultra Protect Spray,250 ml (Pack of 4) 
10080,16,202225975,10016,21,ZM LABS,Air & Surface Disinfectant Spray,250 ml (Pack of 3)
10081,17,202225961,10017,23,Floroma,Glass Cleaner,500 ml 
10082,17,202225965,10017,8,Veggie Clean,Food Safe Wipes,30 pcs 
10083,17,202225971,10017,26,Herbal Strategi,"Glass Cleaner, Disinfectant & Insect Repellent",500 ml 
10084,17,202225973,10017,22,Cif,Kitchen Cleaning Spray - Tough Grease Removal,450 ml 
10085,17,202225971,10017,9,Britannia,"Treat Croissant - Vanilla Creme Roll, 100% Veg",6x45 g Multipack 
10086,18,202225967,10018,39,Britannia,"Treat Croissant - Cocoa Creme Roll, 100% Veg",6x45 g Multipack 
10087,18,202225963,10018,17,Bauli,Moonfils Choco Cream,45 g Pouch
10088,18,202214349,10018,4,Britannia,"Treat Croissant, 100% Veg - Cocoa Creme Roll + Vanilla Creme Roll (2x45 g Each)",Combo 2 Items
10089,18,202214340,10018,26,Britannia,"Treat Croissant, 100% Veg - Cocoa Creme Roll + Vanilla Creme Roll (3 x 45g each)",Combo 2 Items
10090,18,202214342,10018,17,Bauli,Moonfils - Vanilla,45 g 
10091,19,202214344,10019,41,Fresho Signature,Croissants - Butter,150 g (Pack of 2)
10092,19,202214347,10019,23,Fresho Signature,"Croissant - Plain Butter, Mini",100 g Pack of 4
10093,19,202214346,10019,46,Bauli,Moonfils Veg - Choco,45 g 
10094,19,202214344,10019,0,Fresho Signature,Croissant - Chocolate,150 g (Pack of 2)
10095,19,202214348,10019,44,Bauli,Moonfils Orange,45 g Pouch
10096,20,202214341,10020,27,Bauli,Moonfils - Strawberry,45 g 
10097,20,202214343,10020,12,Fresho Signature,Bagel - Plain,250 g (Pack of 3)
10098,20,202214346,10020,39,Bauli,Moonfils Veg - Strawberry,45 g 
10099,20,202214348,10020,37,Fresho Signature,Croissants - Cheese,150 g (Pack of 2)
10100,20,202214399,10020,51,Fresho Signature,"Croissant - Cheese & Chilli, Mini",100 g Pack of 4
10101,21,202214399,10021,10,Fresho Signature,Danish - Tutty Frutty,100 g Pack of 4
10102,21,202214392,10021,42,Fresho Signature,Danish - Blueberry,100 g Pack of 2
10103,21,202214393,10021,5,Fresho Signature,Danish - Strawberry,100 g Pack of 2
10104,21,202214396,10021,35,Fresho Signature,Croissant - Butter With Hazelnut Spread,100 g 
10105,21,202214393,10021,8,The Baker's Dozen,Sesame Bagel - 100% Wholewheat,160 g (Pack of 2)
10106,22,202214398,10022,0,Bon & Bread,Butter Croissant,100 g 
10107,22,202214396,10022,18,The Baker's Dozen,Croissant - 100% Butter,70 g 
10108,22,202214397,10022,1,The Baker's Dozen,Chocolate Croissant - Pain Au Chocolat,115 g 
10109,22,202214400,10022,8,Bon & Bread,Jalapeno Cheese Croissant,100 g 
10110,22,202225965,10022,47,Bon & Bread,Chocolate Croissant,100 g 
10111,23,202225973,10023,34,Vim,Dishwash Liquid Gel Lemon Refill Pouch,2 L  
10112,23,202225969,10023,53,Vim,Dishwash Liquid Gel - Lemon,750 ml Bottle 
10113,23,202225957,10023,7,Pril,Dishwash Liquid - Lime,750 ml Bottle 
10114,23,202225973,10023,23,Vim,Dishwash Bar 200 gm + Dishwash Gel - Lemon 250 ml,Combo 2 Items
10115,23,202225964,10023,40,bb Combo,Surf Excel Matic Front Load Detergent Powder 2kg + Vim Dishwash Gel Lemon 500ml,Combo 2 Items
10116,24,202225972,10024,22,Finish,Dishwasher All-In-1 Max Powerball,2 x 24 Tablets Multipack 
10117,24,202225975,10024,9,BB Home,Dishwash Liquid - Lemon With Aloe Vera,500 ml 
10118,24,202225964,10024,15,bb Combo,Surf Excel Matic Top Load Detergent Powder 2kg + Vim Dishwash Gel - Lemon 500ml,Combo 2 Items
10119,24,202225957,10024,0,Vim,Dishwash Liquid - Gel Lemon,500 ml Bottle 
10120,24,202214342,10024,44,BB Home,Dishwash Liquid - Neem With Aloe Vera,500 ml 
10121,25,202214341,10025,21,Pril,Liquid Dishwasher - Tamarind,225 ml  
10122,25,202214348,10025,48,Giffy,Dishwash Gel - Lemon & Active Salt,900 ml (Buy 1 Get 1 Free) 
10123,25,202214348,10025,53,Pril,Dishwash Liquid - Active 2X Lime,425 ml  
10124,25,202214341,10025,11,Pril,Dishwash - Kraft,750 ml 
10125,25,202214350,10025,42,BB Home,Dishwash Liquid - Lemon With Aloe Vera,2 L 
10126,26,202214349,10026,18,Nimeasy,Dishwash Liquid Gel - Lift-off Action With Enzyme Technology,500 ml 
10127,26,202214555,10026,6,bb Combo,Safewash Liquid Detergent 1kg(1kg Free)+Giffy Dishwash Gel Lemon&ActiveSalt900ml,Combo 2 Items
10128,26,202214547,10026,38,Pril,Dishwash Liquid,120 ml  
10129,26,202214553,10026,1,Pril,Dishwash Bar - Perfect,200 g Pack of 4
10130,26,202214552,10026,53,bb Combo,Pril Dishwash Liquid-Active 2X Lime 225 ml + Exo Dish Shine-Bar 130 gm Pack of 4,Combo 2 Items
10131,27,202214556,10027,28,Vim,Dishwash Anti Smell Liquid - Pudina,500 ml  
10132,27,202214550,10027,49,Vim,Dishwash Anti Bac Liquid Neem,500 ml  
10133,27,202214550,10027,19,Godrej Protekt,"Germ Protection Dish Wash Liquid Gel , Fragrance: Lime",750 ml  
10134,27,202214556,10027,31,Duzzit,Rinse Aid Dishwasher - With Fast Drying Technology,500 ml 
10135,27,202214552,10027,36,Pril,Dishwash Liquid - Lime Green,500 ml Bottle
10136,28,202214552,10028,48,BB Home Herbal,Dishwash Liquid,500 ml Bottle
10137,28,202214554,10028,29,bb Combo,Wipro Safewash MaticTopLoad Liquid 1kg+Giffy DishwashGel Lemon Active&Salt 900ml,Combo 2 Items
10138,28,202214552,10028,6,BB Home,BB Home Dishwasher Detergent-1kg-Pack of 2,2x1kg Multipack 
10139,28,202214552,10028,38,Pril,"Dishwash - Kraft, Perfect Active 2x",425 ml Bottle 
10140,28,202220317,10028,29,Pril,"Dishwash - Kraft, Perfect Active 2x 425 ml Bottle + Bar Tub 500 gm",Combo 2 Items
10141,29,202219429,10029,16,BB Home,BB Home Rinse-aid-500ml- Pack of 2,2x500ml Multipack 
10142,29,202220820,10029,3,BB Home,BB Home Dishwasher Salt-1kg-Pack of 2,2x1kg Multipack 
10143,29,202220214,10029,22,BB Home,Dishwasher  - Tablets 30 Tabs + Salt 1 kg + Detergent 1 kg + Rinse Aid 500 ml,Combo 4 Items
10144,29,202219100,10029,3,Nimeasy,Dish Wash Liquid,1 L Bottle 
10145,29,202219493,10029,29,Vim,"Matic -  All In 1 Dishwash Tablets, Unbeatable Grease Removal",30 pcs (540 g)
10146,30,202220314,10030,16,Born Good,"Plant Based Dishwashing Gel - Spanish Citrus Fragrance, Removes Grease",900 ml 
10147,30,202220376,10030,37,Vim,"Matic - Dishwasher Detergent Powder, Perfectly Cleans Your Dishes",1 kg  
10148,30,202219103,10030,31,Giffy,Giffy Concentrated Dishwash Gel - Lemon & Active Salt,140 ml (Buy 2 Get 1 Free)
10149,30,202219900,10030,25,Vim,"Matic - Dishwash Rinse Aid, Brilliant Shine",2 x 500 ml Multipack 
10150,30,202220985,10030,13,Frosch,Soda Dishwashing Liquid,500 ml 
10151,31,202220326,10031,34,Godrej Protekt,"Multipurpose Disinfectant Liquid - Kills 99.9% Germs, Anti-bacterial, for Home & Personal Hygiene, Aqua Fragrance",1 L 
10152,31,202221155,10031,26,BB Home Herbal,Dishwasher Liquid Detergent,500 ml (For Dishwasher Machine)
10153,31,202220175,10031,18,PureCult,Dishwash Liquid - Sweet Orange & Lemon,500 ml 
10154,31,202220619,10031,8,Vim,Matic Dishwasher Detergent Powder 1kg+Dishwash Rinse Aid 500ml+Dishwash Salt 1kg,Combo 3 Items
10155,31,202219302,10031,48,Frosch,"Dishwashing Liquid - Sensitive Provitamin, Dishwashing Power with Moisturizing Vitamins",500 ml 
10156,32,202219327,10032,33,Frosch,Dishwashing Liquid - Citrus,500 ml 
10157,32,202219077,10032,32,Godrej Ezee,Ezee Detergent Pods,240 g 
10158,32,202219552,10032,47,Frosch,Dishwashing Balsam - Pomegranate,500 ml 
10159,32,202220820,10032,30,Tasties,Nacho Chips - Jalapeno,150 g  
10160,32,202221119,10032,35,Tasties,Nacho Chips - Cheese,150 g  
10161,33,202220000,10033,42,Tasties,Nacho Chips - Peri-Peri,60 g  
10162,33,202219590,10033,46,Cornitos,Nacho Crisps - Cheese & Herbs,2x60 g Multipack 
10163,33,202219154,10033,10,Tasties,Nacho Chips Variety Pack- Jalapeno 150 g + Cheese 150 g,Combo 2 Items
10164,33,202219281,10033,38,Cornitos,Nacho Crisps - Sizzlin Jalapeno,2x150 g Multipack 
10165,33,202220336,10033,45,Tasties,Nacho Chips - Sweet Chilli,60 g  
10166,34,202220377,10034,2,Tasties,Nacho Chips Party Pack- Jalapeno + Cheese + Peri-Peri + Sweet Chilli (60 g),Combo 4 Items
10167,34,202219960,10034,41,Habanero,Tortilla Wrap,3x6 pcs Multipack 
10168,34,202221021,10034,41,Cornitos,Nacho Crisps - Peri Peri,2x150 g Multipack 
10169,34,202220950,10034,36,Cornitos,Nacho Crisps Sizzlin Jalapeno 150 g + Heineken0.0 Non Alcoholic Beer 330 ml,Combo 2 Items
10170,34,202220144,10034,18,Cornitos,Nacho Crisps - Barbeque,2x60 g Multipack 
10171,35,202219514,10035,6,Graminway,Healthy Ragi Chips,100 g 
10172,35,202221019,10035,4,Cornitos,Nacho Crisps - Cheese And Herbs,2x150 g Multipack 
10173,35,202219185,10035,7,Cornitos,Taco Shells - 4 Inches,12 pcs 
10174,35,202219580,10035,53,Cornitos,Nacho Crisps - Sea Salt,2x150 g Multipack 
10175,35,202220899,10035,43,Cornitos,Nacho Crisps - Tomato Mexicana,2x60 g Multipack 
10176,36,202220159,10036,23,Wingreens Farms,Butter Garlic Naan Chips,2 x 60 g Multipack 
10177,36,202219651,10036,15,Cornitos,Nacho Crisps Cheese&Herbs 150g + Kingfisher Heineken0.0 Non Alcoholic Beer 330ml,Combo 2 Items
10178,36,202220235,10036,49,BRB,Popped Potato Chips - Salt & Pepper Flavour,52 g 
10179,36,202220858,10036,44,Tex Mex Salsalito,Tortilla - Original Wrap,348 g 
10180,36,202221095,10036,40,Cornitos,Nacho Crisps Tomato Mexicana 150 g + Heineken0.0 Non Alcoholic Beer 330 ml,Combo 2 Items
10181,37,202220125,10037,35,Cornitos,Nacho Crisps Peri Peri 60 g + Kingfisher Radler Lemon Non Alcoholic Drink 300 ml,Combo 2 Items
10182,37,202220650,10037,22,Cornitos,Nacho Chips - Cheesy Sour Cream & Onion,60 g 
10183,37,202221007,10037,2,Cornitos,Nacho Crisps - Tikka Masala,2x60 g Multipack 
10184,37,202219522,10037,13,Cornitos,Nacho Crisps Barbeque 60 g + Kingfisher Radler Lemon Non Alcoholic Drink 300 ml,Combo 2 Items
10185,37,202219510,10037,21,Makino,Nacho Chips - Jalapeno,2x100 g Multipack 
10186,38,202221127,10038,44,Parle,Fulltoss Noodle Masala,19+4g 
10187,38,202219611,10038,8,Cornitos,On The4 Go - Jalapeno Nachos & Salsa Dip,70 g 
10188,38,202220694,10038,42,Parle,Fulltoss Thai Sriracha,140 g  
10189,38,202220842,10038,37,Cornitos,Nacho Chips - Quinoa,70 g 
10190,38,202220150,10038,9,Cornitos,Nacho Chips - Spinach,70 g 
10191,39,202219114,10039,46,Makino,Nacho Chips - Cheese,100 g Pouch 
10192,39,202219979,10039,13,Kettle Studio,Potato Chips - Rock Sea Salt & English Vinegar,125 g 
10193,39,202221088,10039,52,Cornitos,Nacho Crisps - Sizzlin Jalapeno,3 x 30 g Multipack 
10194,39,202220577,10039,4,Wingreens Farms,Chatpata Pudina Naan Chips,2 x 60 g Multipack 
10195,39,202220815,10039,52,Cornitos,Nacho Chips - Melange,70 g 
10196,40,202219420,10040,25,Graminway,Crunchy Soya Chips,100 g 
10197,40,202220487,10040,22,Wingreens Farms,Naan Chips - Butter Garlic,150 g  
10198,40,202219720,10040,30,Wingreens Farms,Honey Mustard Sauce 130 g + Naan Chips - Butter Garlic 30 g,Combo 2 Items
10199,40,202219800,10040,22,Cornitos,Nacho Crisps Tikka Masala 60g + Kingfisher Radler Lemon NonAlcoholic Drink 300ml,Combo 2 Items
10200,40,202219199,10040,38,Cornitos,Taco Shells - 6 Inches,12 pcs 
10201,41,202214397,10041,27,Makino,Nacho Chips - Sweet Chilli,2x60 g Multipack 
10202,41,202214400,10041,10,Makino,"Nacho Chips - Jalapeno, Without Onion & Garlic, No Trans Fat & Cholesterol",2x60 g Multipack 
10203,41,202214393,10041,0,Wingreens Farms,Chip N Dip - Tangy Cheese Pita Chips With Mexican Dip,2 x 70 g Multipack 
10204,41,202214394,10041,36,Cornitos,Nacho Chips - Sweet Chili,150 g Pouch 
10205,41,202214393,10041,51,Slurrp Farm,Mighty Puff - Tangy Tomato,20 g Pouch 
10206,42,202214396,10042,45,Makino,Nacho Chips - Cheese + Jalapeno (100 g each) + Nacho Chips Sweet Chilli 60 g,Combo 3 Items
10207,42,202214391,10042,29,Vaseline,Intensive Care Deep Restore Body Lotion,3x400 ml Multipack 
10208,42,202214398,10042,33,Nivea,"Body Lotion - Nourishing Body Milk, For Very Dry Skin",3x400 ml Multipack 
10209,42,202214397,10042,22,Nivea,"Cocoa Nourish Body Lotion For Very Dry Skin - With Coconut Oil & Cocoa Butter, For Men & Women",400 ml  
10210,42,202214399,10042,26,Vaseline,Intensive Care Aloe Fresh Body Lotion,3x400 ml Multipack 
10211,43,202214399,10043,13,Nivea,Soft-Light Moisturising Cream,3x300 ml Multipack 
10212,43,202214392,10043,37,Vaseline,Intensive Care Cocoa Glow Body Lotion,3x400 ml Multipack 
10213,43,202214393,10043,5,Nivea,"Body Lotion - Express Hydration, For Normal Skin",3x400 ml Multipack 
10214,43,202214396,10043,4,Nivea,"Buy One Get One, Self Care Combo, Deo Roll On 50ml + Body Lotion 400ml",Combo 2 Items
10215,43,202214393,10043,21,Nivea,"Body Lotion - Aloe Hydration, For Normal Skin",3x400 ml Multipack 
10216,44,202214398,10044,41,Nivea,"Body Lotion - Shea Smooth Milk, For Dry Skin",3x400 ml Multipack 
10217,44,202214396,10044,14,Nivea,"Buy One Get One, Cleanse & Care Combo,  Body Wash 250 ml+ Body Lotion 400 ml",Combo 2 Items
10218,44,202214397,10044,13,Nivea,"Buy One Get One, Self Care Combo, Deodorant Roll On 50 ml + Body Lotion 400 ml",Combo 2 Items
10219,44,202214400,10044,30,Green Leaf,Aloe Vera Skin Gel,2x500 g Multipack 
10220,44,202225965,10044,53,Vaseline,Healthy Bright Daily Brightening Body Lotion,2x400 ml (Multipack) 
10221,45,202225973,10045,8,Himalaya,Cocoa Butter Intensive Body Lotion,2x400 ml (Multipack) 
10222,45,202225969,10045,34,Parachute Advansed,Deep Nourish Body Lotion,2x400 ml (Multipack) 
10223,45,202225957,10045,17,Nutrinorm,"Extra Moisturizing Body Lotion - With Bee Wax, Coconut & Almond Oil",250 ml 
10224,45,202225973,10045,15,Swiss Beauty,"Kapok Romantic Floral Hand Cream - With Shea Butter, Moisturises Deeply",35 g 
10225,45,202225964,10045,28,Joy,Pure Aloe Repairing & Soothing Aloe Vera Gel - For Face & Body,300 ml 
10226,46,202225972,10046,53,Joy,Vitamin C Glow Reviving & Skin Brightening Gel - For Face & Body,300 ml 
10227,46,202225975,10046,29,Joy,Pure Aloe Multi-Benefit Body Lotion,300 ml  
10228,46,202225964,10046,28,Joy,Natural Rose Indulgent & Pampering  Body Serum Lotion - With Geranium & Chamellia Essential Oils,300 ml 
10229,46,202225957,10046,53,Swiss Beauty,"Cherry Romantic Floral Hand Cream - With Shea Butter, Moisturises Deeply",35 g 
10230,46,202225966,10046,30,Swiss Beauty,"Chamomile Romantic Floral Hand Cream - With Shea Butter, Moisturises Deeply",35 g 
10231,47,202225973,10047,7,Swiss Beauty,"Jasmine Romantic Floral Hand Cream - With Shea Butter, Moisturises Deeply",35 g 
10232,47,202225975,10047,52,Nivea,"Buy One Get One, Cleanse & Care Combo, Body Wash 250 ml +  Body Lotion 400ml",Combo 2 Items
10233,47,202225961,10047,24,Himalaya,Aloe & Cucumber Refreshing Body Lotion,2x400 ml (Multipack) 
10234,47,202225965,10047,28,Nivea,"Cleanse, Care, Refresh: Body Lotion + Body Wash + Women Roll On",Combo 3 Items
10235,47,202225971,10047,40,Himalaya,Nourishing Body Lotion,200 ml  
10236,48,202225973,10048,28,Vaseline,Derma Care Advanced Repair Body Lotion,100 ml  
10237,48,202225971,10048,24,Lakme,Peach Milk Moisturizer Body Lotion,200 ml Bottle 
10238,48,202225967,10048,30,BIOTIQUE,Bio Morning - Nectar Visibly Flawless Skin Moisturizer For All Skin Types,120 ml Carton 
10239,48,202225963,10048,1,Himalaya,Rich Cocoa Butter Body Cream,200 ml 
10240,48,202214349,10048,25,Vaseline,"Intensive Care Calming Lavender Body Lotion - Non-Greasy Formula, Moisturising",400 ml  
10241,49,202214340,10049,12,moha,Moha Foot Care Cream - Herbal Solution For Beautiful Feet.,50 ml TUBE 
10242,49,202214342,10049,3,moha,Herbal Sunscreen Lotion,100 ml TUBE
10243,49,202214344,10049,30,Lakme,Peach Milk Moisturiser - SPF 24 PA++,2x200 ml (Multipack) 
10244,49,202214347,10049,5,Lakme,Peach Milk Soft Creme,250 g  
10245,49,202214346,10049,10,Vaseline,Sun + Pollution Protection SPF 30 Body Lotion,3x400 ml Multipack 
10246,50,202214344,10050,18,Kapiva,Pure Aloe Vera Hydrating Gel,500 g  
10247,50,202214348,10050,26,Dove,Supple Bounce Body Lotion,400 ml  
10248,50,202214341,10050,53,Nivea,Body Lotion For Dry Skin With Rose & Argan Oil,400 ml  
10249,50,202214343,10050,42,Parachute Advansed,Olive & Almond Body Oil For Nourished Glowing Skin,200 ml  
10250,50,202214346,10050,8,Vlcc,Skin Defense Almond Nourishing Body Lotion,350 ml Each Buy 1 Get 1
10251,51,202214348,10051,22,Joy,Honey & Almonds Advanced Nourishing Body Lotion,2x500 ml (Multipack) 
10252,51,202214342,10051,21,Dove,Light Hydration Body Lotion,400 ml  
10253,51,202214342,10051,6,Nivea,Extra Whitening Cell Repair Body Lotion  SPF 15 & 50x Vitamin C,400 ml 
10254,51,202214341,10051,4,Aveeno,Daily Moisturizing Lotion - For Normal & Dry Skin,354 ml 
10255,51,202214348,10051,13,Formula,Tongue Cleaner,1 pc Carton
10256,52,202214348,10052,11,Lexus,Tongue Cleaner - Copper 004,1 pc Carton
10257,52,202214341,10052,16,Lexus,Tongue Cleaner - Stainless Steel 005,1 pc Carton
10258,52,202214350,10052,19,Mr. Copper,Classic Tongue Cleaner - Copper,1 pc 
10259,52,202214349,10052,35,Mr. Copper,Premium Tongue Cleaner - Copper,1 pc 
10260,52,202214555,10052,20,Lexus,Tongue Cleaner - Copper 006,1 pc Carton
10261,53,202214547,10053,2,Nandini,Pure Ghee/Tuppa,200 ml Pouch 
10262,53,202214553,10053,9,Fortune ,Sun Lite - Sunflower Refined Oil,1 L Pouch
10263,53,202214552,10053,9,Fortune ,Fortune Premium Kachi Ghani Pure Mustard Oil,1L Pet Bottle 
10264,53,202214556,10053,4,Sunpure ,Refined - Sunflower Oil,1 L Pouch
10265,53,202214550,10053,8,Idhayam,Oil - Gingelly,500 ml Pouch 
10266,54,202214550,10054,40,Fortune ,Rice Bran Oil,1 L Pouch
10267,54,202214556,10054,43,Fortune ,Sun Lite - Sunflower Refined Oil,5 L Can 
10268,54,202214552,10054,15,Freedom,Refined Oil - Sunflower,1 L Pouch
