orderid,productid,userid,rating
30,202220314,10030,3.3
30,202220376,10030,2.9
30,202219103,10030,4.6
30,202219900,10030,4.4
30,202220985,10030,3.2
31,202220326,10031,4.8
31,202221155,10031,0
31,202220175,10031,4.5
31,202220619,10031,2.8
31,202219302,10031,4.2
32,202219327,10032,4
32,202219077,10032,2.9
32,202219552,10032,3.5
32,202220820,10032,4.7
32,202221119,10032,4.3
33,202220000,10033,2.7
33,202219590,10033,3.9
33,202219154,10033,4.8
33,202219281,10033,2.9
33,202220336,10033,4.7
34,202220377,10034,3.2
34,202219960,10034,3.7
34,202221021,10034,2.8
34,202220950,10034,2.6
34,202220144,10034,3.5
35,202219514,10035,3.3
35,202221019,10035,2.4
35,202219185,10035,3.4
35,202219580,10035,4.6
35,202220899,10035,4.4
36,202220159,10036,0
36,202219651,10036,2.7
36,202220235,10036,4.5
36,202220858,10036,4.1
36,202221095,10036,4.2
37,202220125,10037,3.7
37,202220650,10037,3.9
37,202221007,10037,2.5
37,202219522,10037,3.7
37,202219510,10037,2.7
38,202221127,10038,3.4
38,202219611,10038,4.4
38,202220694,10038,4.5
38,202220842,10038,4.3
38,202220150,10038,3.6
39,202219114,10039,3.8
39,202219979,10039,3.6
39,202221088,10039,4.3
39,202220577,10039,3.1
39,202220815,10039,4
40,202219420,10040,4.3
40,202220487,10040,2.7
40,202219720,10040,4.8
40,202219800,10040,4.5
40,202219199,10040,0
41,202214397,10041,2.2
41,202214400,10041,2.6
41,202214393,10041,3.5
41,202214394,10041,3.8
41,202214393,10041,4.3
42,202214396,10042,3.5
42,202214391,10042,4.8
42,202214398,10042,4.4
42,202214397,10042,2.9
42,202214399,10042,4.7
43,202214399,10043,2.9
43,202214392,10043,3.6
43,202214393,10043,4.5
43,202214396,10043,3.5
43,202214393,10043,3.9
44,202214398,10044,4.3
44,202214396,10044,2.8
44,202214397,10044,3.2
44,202214400,10044,4.7
44,202225965,10044,0
45,202225973,10045,4.7
45,202225969,10045,3.8
45,202225957,10045,2.9
45,202225973,10045,2.7
45,202225964,10045,4.1
46,202225972,10046,2.6
46,202225975,10046,2.9
46,202225964,10046,4.4
46,202225957,10046,3.8
46,202225966,10046,4.8
47,202225973,10047,3
47,202225975,10047,2.3
47,202225961,10047,3.6
47,202225965,10047,3.5
47,202225971,10047,3.3
48,202225973,10048,3.9
48,202225971,10048,2.8
48,202225967,10048,2.5
48,202225963,10048,3.4
48,202214349,10048,4.7
49,202214340,10049,3.3
49,202214342,10049,2.5
49,202214344,10049,2.6
49,202214347,10049,2.6
49,202214346,10049,3.5
50,202214344,10050,3.2
50,202214348,10050,3.6
50,202214341,10050,3.6
50,202214343,10050,2.8
50,202214346,10050,2.7
51,202214348,10051,2.5
51,202214342,10051,4.8
51,202214342,10051,4.8
51,202214341,10051,3.6
51,202214348,10051,4.5
52,202214348,10052,2.7
52,202214341,10052,2.4
52,202214350,10052,3.3
52,202214349,10052,3.7
52,202214555,10052,4.1
53,202214547,10053,2.5
53,202214553,10053,3
53,202214552,10053,2.3
53,202214556,10053,4.3
53,202214550,10053,4.6
54,202214550,10054,4
54,202214556,10054,3.2
54,202214552,10054,4.1
54,202214552,10054,4.2
54,202214554,10054,2.6
55,202214552,10055,3.6
55,202214552,10055,4.1
55,202214555,10055,2.7
55,202214556,10055,4.2
55,202214555,10055,3.5
56,202214549,10056,4.7
56,202214545,10056,4.1
56,202214550,10056,2.8
56,202214550,10056,4.7
56,202219580,10056,3.5
57,202220899,10057,3.6
57,202220159,10057,2.7
57,202219651,10057,4.7
57,202220235,10057,4.4
57,202220858,10057,4.3
58,202221095,10058,2.3
58,202220125,10058,2.7
58,202220650,10058,4.2
58,202221007,10058,4.5
58,202219522,10058,4.3
59,202219510,10059,3.4
59,202221127,10059,3.4
59,202219611,10059,2.8
59,202220694,10059,4.3
59,202220842,10059,3.8
60,202220317,10060,3.7
60,202219429,10060,2.3
60,202220820,10060,3.8
60,202220214,10060,0
60,202219100,10060,3.9
61,202219493,10061,3.2
61,202220314,10061,3.6
61,202220376,10061,4.3
61,202219103,10061,3.9
61,202219900,10061,3.6
62,202220985,10062,3
62,202220326,10062,4.5
62,202221155,10062,4.3
62,202220175,10062,3.5
62,202220619,10062,4.7
63,202219302,10063,4.7
63,202219327,10063,0
63,202219077,10063,3
63,202219552,10063,4.4
63,202220820,10063,4.7
64,202221119,10064,4.5
64,202220000,10064,2.7
64,202219590,10064,3.8
64,202219154,10064,4.5
64,202219281,10064,3.2
65,202220336,10065,4.5
65,202220377,10065,2.3
65,202219960,10065,5
65,202221021,10065,3.3
65,202220950,10065,2.4
66,202220144,10066,2.8
66,202219514,10066,3
66,202221019,10066,3.1
66,202219185,10066,4.3
66,202219580,10066,2.3
67,202220899,10067,2.2
67,202220159,10067,3.3
67,202220235,10067,2.9
67,202220858,10067,3.4
68,202221095,10068,2.7
68,202220125,10068,4
68,202220650,10068,4.4
68,202221007,10068,4.3
68,202219522,10068,3.6
69,202219510,10069,5
69,202221127,10069,4.5
69,202219611,10069,2.3
69,202220694,10069,0
69,202220842,10069,0
70,202220150,10070,3.9
70,202219114,10070,3.2
70,202219979,10070,2.5
70,202221088,10070,0
70,202220577,10070,0
71,202220815,10071,3.6
71,202219420,10071,3.6
71,202220487,10071,4.6
71,202219720,10071,2.8
71,202219800,10071,4.1
72,202219199,10072,4.3
72,202217345,10072,4.2
72,202214465,10072,3.3
72,202222097,10072,2.7
72,202220919,10072,3.8
73,202215634,10073,3.2
73,202221164,10073,4.1
73,202228519,10073,3.2
73,202218017,10073,3.3
74,202212060,10074,3.8
74,202221619,10074,4.5
74,202218920,10074,2.7
74,202218807,10074,3.7
74,202213660,10074,3.4
75,202213710,10075,2.4
75,202225771,10075,2.7
75,202219609,10075,3.5
75,202221526,10075,2.4
75,202223962,10075,3.7
76,202226178,10076,5
76,202218857,10076,2.9
76,202218261,10076,3.3
76,202226131,10076,3.2
76,202228716,10076,0
77,202217944,10077,4.2
77,202222576,10077,2.3
77,202222816,10077,2.3
77,202213283,10077,3.7
77,202217015,10077,2.7
78,202220395,10078,3.8
78,202215573,10078,3.8
78,202217997,10078,2.5
78,202221535,10078,3.4
78,202217102,10078,2.9
79,202220239,10079,4.6
79,202213501,10079,2.9
79,202217730,10079,2.4
79,202220146,10079,2.2
79,202225331,10079,3.5
80,202214724,10080,4
80,202217782,10080,3.6
80,202229143,10080,2.6
80,202224922,10080,3.5
80,202221979,10080,3.3
81,202216061,10081,4.4
81,202220994,10081,2.9
81,202223861,10081,2.4
81,202218266,10081,0
82,202217416,10082,3.2
82,202216651,10082,2.8
82,202215742,10082,4.7
82,202215508,10082,4.7
83,202224708,10083,3.8
83,202221652,10083,3.7
83,202227962,10083,2.3
83,202228233,10083,4
84,202228168,10084,4.3
84,202228451,10084,2.8
84,202221522,10084,4.1
85,202217764,10085,3.5
85,202216970,10085,4.8
85,202220571,10085,3.5
85,202220898,10085,4
85,202219197,10085,3.9
86,202225256,10086,3.6
86,202217270,10086,4.6
86,202221449,10086,4.5
86,202227997,10086,3.5
86,202229554,10086,3.4
87,202219872,10087,3.2
87,202226690,10087,4.4
87,202219033,10087,3.9
87,202218579,10087,2.9
87,202225413,10087,3.3
88,202227771,10088,2.6
88,202218890,10088,3.8
88,202221286,10088,3.9
88,202215666,10088,4.5
88,202222307,10088,3.7
89,202212527,10089,3
89,202217821,10089,4.2
89,202219631,10089,4.4
89,202223299,10089,2.4
89,202223154,10089,3.7
90,202220801,10090,4.1
90,202229342,10090,3.7
90,202223709,10090,5
90,202224387,10090,3
90,202224656,10090,3.8
91,202212092,10091,3.4
91,202229077,10091,4.1
92,202222344,10092,3.9
92,202214279,10092,4.4
92,202224118,10092,4.8
92,202226328,10092,4.8
92,202219190,10092,4.2
93,202228754,10093,3.8
93,202227508,10093,0
93,202227973,10093,3
93,202218935,10093,4.7
93,202225525,10093,3.7
94,202213963,10094,3.1
94,202224538,10094,5
94,202227488,10094,3.2
94,202224629,10094,2.3
94,202221613,10094,4.4
95,202215338,10095,3.7
95,202227658,10095,4
95,202213549,10095,3.8
95,202220182,10095,3.1
95,202217153,10095,2.6
96,202217737,10096,4.7
96,202228530,10096,3.3
96,202215123,10096,4.5
96,202228238,10096,3.6
96,202223198,10096,2.7
97,202224123,10097,3.3
97,202213243,10097,4.5
97,202216417,10097,4.8
97,202221267,10097,3.7
97,202213050,10097,2.3
98,202212417,10098,3.2
98,202216468,10098,3.5
98,202216335,10098,2.7
98,202217823,10098,3.1
98,202216296,10098,4.3
99,202218305,10099,2.8
99,202225446,10099,4.7
99,202223794,10099,3.4
99,202224017,10099,4.1
99,202215118,10099,3.7
100,202213791,10100,4.8
100,202213616,10100,3.2
100,202218659,10100,2.5
100,202213413,10100,3.4
100,202220305,10100,3.2
101,202229193,10101,3.4
101,202215163,10101,2.2
101,202224683,10101,3.6
101,202226978,10101,3.2
101,202223388,10101,2.2
102,202215686,10102,2.3
102,202221223,10102,3.3
102,202226107,10102,4
102,202224879,10102,4.2
102,202225119,10102,3.9
103,202227586,10103,2.8
103,202219946,10103,3.9
103,202228350,10103,4.7
103,202223035,10103,3.4
103,202227699,10103,3.8
104,202219766,10104,4.4
104,202219809,10104,4
104,202225418,10104,2.9
104,202227201,10104,2.7
104,202224643,10104,2.6
105,202217905,10105,0
105,202217543,10105,4.4
105,202221595,10105,3.6
105,202227191,10105,3.4
105,202217819,10105,4.7
106,202218169,10106,2.7
106,202222554,10106,3.9
106,202226693,10106,2.6
106,202229208,10106,4.1
106,202217036,10106,2.7
107,202228196,10107,4.2
107,202214748,10107,2.4
107,202222713,10107,2.7
107,202223919,10107,3
107,202213774,10107,4.8
108,202215915,10108,2.9
108,202226395,10108,3.7
108,202214147,10108,3.8
108,202220273,10108,0
108,202216907,10108,4.1
109,202216655,10109,4.7
109,202224129,10109,4.5
109,202214886,10109,4.7
109,202215941,10109,4.4
109,202223466,10109,3.2
110,202218284,10110,2.7
110,202222214,10110,2.9
110,202226824,10110,3.7
110,202225376,10110,4.8
110,202222986,10110,4.4
111,202215830,10111,4.2
111,202218200,10111,2.2
111,202218428,10111,2.9
111,202216992,10111,4.1
111,202220000,10111,3.5
112,202228561,10112,2.7
112,202219071,10112,2.8
112,202220834,10112,0
112,202225284,10112,4.8
112,202216555,10112,4.1
113,202219595,10113,4.2
113,202223056,10113,4.6
113,202227346,10113,2.4
113,202213688,10113,2.4
113,202218317,10113,3.3
114,202219958,10114,3.7
114,202223510,10114,3.5
114,202226216,10114,2.4
114,202226069,10114,4
114,202214317,10114,3.5
115,202221804,10115,4.6
115,202218399,10115,3.6
115,202226351,10115,2.5
115,202213820,10115,4
115,202222961,10115,3.7
116,202215124,10116,2.4
116,202225435,10116,3.4
116,202215483,10116,3.7
116,202224233,10116,3.7
116,202224587,10116,2.8
117,202213257,10117,3
117,202226948,10117,4.1
117,202219634,10117,2.4
117,202222171,10117,2.7
117,202219267,10117,4.7
118,202215332,10118,4.6
118,202214736,10118,3.2
118,202220736,10118,3
118,202218610,10118,3.2
118,202216232,10118,4.4
119,202221042,10119,3.3
119,202216306,10119,2.5
119,202222279,10119,4.4
119,202219476,10119,4.7
119,202229263,10119,3.8
120,202212512,10120,2.6
120,202222929,10120,4.4
120,202219613,10120,2.3
120,202214934,10120,2.8
120,202227987,10120,4.8
121,202225968,10121,2.9
121,202221016,10121,4.1
121,202213974,10121,3.4
121,202222913,10121,4.2
121,202224467,10121,4.2
122,202216783,10122,3.1
122,202228119,10122,2.5
122,202214254,10122,2.3
122,202221280,10122,4.5
122,202228755,10122,2.7
123,202223071,10123,5
123,202220362,10123,3.5
123,202213523,10123,2.6
123,202227801,10123,4.5
123,202213790,10123,3.7
124,202229298,10124,3.6
124,202212691,10124,3.7
124,202224505,10124,4
124,202227913,10124,2.3
124,202221219,10124,4.8
125,202216315,10125,3.2
125,202219326,10125,2.9
125,202224477,10125,3.1
125,202217643,10125,4.1
125,202229427,10125,3.6
126,202217119,10126,3.5
126,202224474,10126,3.4
126,202218542,10126,4.7
126,202215432,10126,2.9
126,202219610,10126,4.2
127,202217753,10127,2.8
127,202225209,10127,3.9
127,202227284,10127,3.8
127,202219983,10127,3.9
127,202226191,10127,3.9
128,202218450,10128,3.9
128,202226110,10128,2.5
128,202217719,10128,2.6
128,202225790,10128,2.7
129,202228092,10129,4.6
129,202228273,10129,4.2
129,202226908,10129,4.5
129,202212306,10129,3.8
129,202227415,10129,4.4
130,202227426,10130,2.8
130,202228066,10130,4.6
130,202214368,10130,3.5
130,202216855,10130,2.4
130,202219315,10130,4.6
131,202221782,10131,2.4
131,202228244,10131,4.2
131,202227879,10131,3
131,202216981,10131,4.2
131,202216863,10131,4.6
132,202229442,10132,2.9
132,202218391,10132,2.7
132,202215050,10132,4.3
132,202225193,10132,4.2
132,202219205,10132,4.2
133,202219130,10133,2.5
133,202226445,10133,5
133,202214150,10133,3.7
133,202220018,10133,4.3
133,202218293,10133,3.7
134,202228782,10134,4.1
134,202212365,10134,3.6
134,202214830,10134,3.8
134,202214648,10134,3.4
134,202224787,10134,3
135,202223956,10135,2.9
135,202227451,10135,4.5
135,202223240,10135,2.9
135,202219337,10135,2.7
135,202227360,10135,4.1
136,202214114,10136,2.3
136,202224000,10136,3.4
136,202221486,10136,2.5
136,202227721,10136,4.1
136,202219841,10136,2.7
137,202214207,10137,2.7
137,202220198,10137,4.8
137,202212355,10137,3.1
137,202222021,10137,3.2
137,202213824,10137,0
138,202229471,10138,4.6
138,202228853,10138,2.7
138,202217155,10138,2.6
138,202215482,10138,2.4
138,202221019,10138,3.9
139,202221224,10139,2.3
139,202220732,10139,4.2
139,202228217,10139,3.7
139,202215315,10139,3.3
139,202217046,10139,3.6
140,202224819,10140,2.3
140,202214788,10140,3.5
140,202218755,10140,2.8
140,202216429,10140,4
140,202226105,10140,3.4
141,202214353,10141,3.7
141,202220905,10141,2.4
141,202228054,10141,3.7
141,202214975,10141,2.6
141,202213465,10141,3
142,202221398,10142,3.2
142,202214760,10142,3.8
142,202213926,10142,3
142,202220569,10142,2.4
142,202212669,10142,3.3
143,202213816,10143,5
143,202212355,10143,4.7
143,202228439,10143,4.6
143,202222006,10143,2.6
143,202220420,10143,3.6
144,202222216,10144,0
144,202218715,10144,3.7
144,202227036,10144,3.5
144,202215748,10144,5
144,202215333,10144,2.4
145,202223382,10145,3.6
145,202213272,10145,0
145,202220636,10145,2.6
145,202227777,10145,3.5
145,202219565,10145,4.6
146,202227625,10146,3.4
146,202220471,10146,2.6
146,202227636,10146,3.5
146,202223685,10146,3.6
146,202223891,10146,3.9
147,202228797,10147,2.7
147,202227764,10147,2.9
147,202222585,10147,3.8
147,202220822,10147,4.3
147,202228643,10147,2.7
148,202218597,10148,4.7
148,202214266,10148,3.2
148,202223015,10148,4.2
148,202227277,10148,3.2
148,202225903,10148,2.4
149,202220114,10149,4.4
149,202215358,10149,3.1
149,202219864,10149,3.2
149,202212866,10149,4.6
149,202216475,10149,3.6
150,202220589,10150,2.9
150,202214951,10150,3.7
150,202217455,10150,4.6
150,202217582,10150,4.4
150,202225385,10150,3.2
151,202229059,10151,3.5
151,202226116,10151,3.8
151,202227439,10151,3.8
151,202222912,10151,4.2
151,202213321,10151,5
152,202229011,10152,4
152,202214106,10152,2.4
152,202226195,10152,3.6
152,202222451,10152,5
152,202220835,10152,2.8
153,202229564,10153,4
153,202212829,10153,4.1
153,202224843,10153,3.9
153,202223153,10153,3.5
153,202214861,10153,4.4
154,202228170,10154,2.5
154,202217345,10154,4.1
154,202214465,10154,2.7
154,202222097,10154,3.5
154,202220919,10154,4.3
155,202215634,10155,2.4
155,202221164,10155,0
155,202228519,10155,2.9
155,202218017,10155,4.5
155,202219165,10155,3
156,202212060,10156,3.3
156,202221619,10156,2.6
156,202218920,10156,0
156,202218807,10156,4.5
156,202213660,10156,4.3
157,202213710,10157,4.3
157,202225771,10157,2.4
157,202219609,10157,0
157,202221526,10157,3.4
157,202223962,10157,3
158,202226178,10158,2.2
158,202218857,10158,4.2
158,202218261,10158,4.8
158,202226131,10158,4.1
158,202228716,10158,2.9
159,202217944,10159,2.7
159,202222576,10159,3.9
159,202222816,10159,3.2
159,202213283,10159,2.7
159,202217015,10159,4.5
160,202220395,10160,3.7
160,202215573,10160,3.8
160,202217997,10160,3.5
160,202221535,10160,3.4
160,202217102,10160,4
161,202220239,10161,2.6
161,202213501,10161,4.7
161,202217730,10161,3.6
161,202220146,10161,2.8
161,202225331,10161,2.4
162,202214724,10162,4.4
162,202217782,10162,3.4
162,202229143,10162,2.3
162,202221979,10162,3.7
163,202216061,10163,3
163,202220994,10163,2.2
163,202223861,10163,3.8
163,202218266,10163,2.9
163,202214809,10163,3.6
164,202217416,10164,2.7
164,202216651,10164,4.2
164,202215742,10164,3.2
164,202215508,10164,4.1
164,202221860,10164,2.9
165,202224708,10165,2.9
165,202221652,10165,3.9
165,202227962,10165,4.3
165,202219631,10165,2.3
165,202228233,10165,2.3
166,202228489,10166,3.8
166,202221432,10166,2.8
166,202228168,10166,3.6
166,202228451,10166,4.7
166,202221522,10166,3.6
167,202217764,10167,3.1
167,202216970,10167,3.4
167,202220571,10167,3
167,202220898,10167,3
167,202219197,10167,2.3
168,202225256,10168,3
168,202217270,10168,4.8
168,202221449,10168,3.3
168,202227997,10168,2.9
168,202229554,10168,4.8
169,202219872,10169,3.9
169,202226690,10169,4.5
169,202219033,10169,3.5
169,202218579,10169,4
169,202225413,10169,3.8
170,202227771,10170,4.5
170,202218890,10170,4.8
170,202221286,10170,4
170,202215666,10170,4.6
170,202222307,10170,3
171,202212527,10171,4
171,202217821,10171,4.7
171,202219631,10171,3.8
171,202223299,10171,2.5
171,202223154,10171,3.7
172,202220801,10172,2.9
172,202229342,10172,0
172,202223709,10172,2.8
172,202224387,10172,4.3
172,202224656,10172,4.7
173,202212092,10173,3.2
173,202214657,10173,5
173,202212250,10173,3.9
173,202224669,10173,2.5
173,202229077,10173,0
174,202222344,10174,2.8
174,202214279,10174,2.8
174,202224118,10174,3.6
174,202226328,10174,4.3
174,202219190,10174,3.9
175,202228754,10175,4.1
175,202227508,10175,4.2
175,202227973,10175,4
175,202218935,10175,2.5
175,202225525,10175,2.5
176,202213963,10176,4.2
176,202224538,10176,4
176,202227488,10176,0
176,202224629,10176,2.9
176,202221613,10176,5
177,202215338,10177,4.2
177,202227658,10177,2.7
177,202213549,10177,3.2
177,202220182,10177,4.5
177,202217153,10177,3.9
178,202217737,10178,3.8
178,202228530,10178,3.8
178,202215123,10178,2.7
178,202228238,10178,3.5
178,202223198,10178,2.8
179,202224123,10179,3.5
179,202213243,10179,2.3
179,202216417,10179,4.2
179,202221267,10179,4.8
179,202213050,10179,4.2
180,202212417,10180,3.3
180,202216468,10180,4.3
180,202216335,10180,3.5
180,202217823,10180,2.9
180,202216296,10180,4.4
181,202218305,10181,3
181,202225446,10181,3.2
181,202223794,10181,4.2
181,202224017,10181,4.2
181,202215118,10181,4
182,202213791,10182,3.3
182,202213616,10182,3.8
182,202218659,10182,2.6
182,202213413,10182,3
182,202220305,10182,4.4
183,202229193,10183,0
183,202215163,10183,3.2
183,202224683,10183,2.5
183,202226978,10183,2.5
183,202223388,10183,4.8
184,202215686,10184,3.8
184,202221223,10184,2.7
184,202226107,10184,2.5
184,202224879,10184,2.4
184,202225119,10184,3.9
185,202227586,10185,2.8
185,202219946,10185,3.6
185,202228350,10185,3.1
185,202223035,10185,4.6
185,202227699,10185,3.3
186,202219766,10186,4.2
186,202219809,10186,4.1
186,202225418,10186,2.9
186,202227201,10186,0
186,202224643,10186,3.2
187,202217905,10187,2.7
187,202217543,10187,3.3
187,202221595,10187,2.6
187,202227191,10187,5
187,202217819,10187,2.5
188,202218169,10188,3.3
188,202222554,10188,2.5
188,202226693,10188,2.4
188,202229208,10188,3.5
188,202217036,10188,3.2
189,202228196,10189,5
189,202214748,10189,4.6
189,202222713,10189,4.4
189,202223919,10189,3.3
189,202213774,10189,2.3
190,202215915,10190,2.4
190,202226395,10190,2.7
190,202214147,10190,2.4
190,202220273,10190,4
190,202216907,10190,2.9
191,202216655,10191,3.4
191,202224129,10191,3.9
191,202214886,10191,3.5
191,202215941,10191,0
191,202223466,10191,3.9
192,202218284,10192,3.7
192,202222214,10192,3.3
192,202226824,10192,3.4
192,202225376,10192,4.7
192,202222986,10192,0
193,202215830,10193,4.5
193,202218200,10193,0
193,202218428,10193,4.3
193,202216992,10193,4.4
193,202220000,10193,3.5
194,202228561,10194,3
194,202219071,10194,2.2
194,202220834,10194,4.2
194,202225284,10194,3.3
194,202216555,10194,2.3
195,202219595,10195,3.8
195,202223056,10195,5
195,202227346,10195,4.2
195,202213688,10195,3.6
195,202218317,10195,3
196,202219958,10196,2.6
196,202223510,10196,2.7
196,202226216,10196,3.7
196,202226069,10196,2.5
196,202214317,10196,3.7
197,202221804,10197,3.5
197,202218399,10197,4.7
197,202226351,10197,3.8
197,202213820,10197,4.8
197,202222961,10197,2.3
198,202215124,10198,4.1
198,202225435,10198,2.5
198,202215483,10198,4
198,202224233,10198,3.4
198,202224587,10198,4.4
199,202213257,10199,4.6
199,202226948,10199,3.4
199,202219634,10199,2.5
199,202222171,10199,4.7
199,202219267,10199,4.2
200,202215332,10200,4
200,202214736,10200,3.9
200,202220736,10200,3.3
200,202218610,10200,3.4
200,202216232,10200,3.3
201,202221042,10201,4.2
201,202216306,10201,4.4
201,202222279,10201,3.7
201,202219476,10201,4.7
201,202229263,10201,3
202,202212512,10202,2.6
202,202222929,10202,3.7
202,202219613,10202,2.3
202,202214934,10202,3.9
202,202227987,10202,0
203,202225968,10203,4
203,202221016,10203,4.2
203,202213974,10203,3.7
203,202222913,10203,3.6
203,202224467,10203,3.2
204,202216783,10204,4.4
204,202228119,10204,2.9
204,202214254,10204,2.7
204,202221280,10204,2.9
204,202228755,10204,4.2
205,202223071,10205,3.5
205,202220362,10205,2.8
205,202213523,10205,4.2
205,202227801,10205,3.4
205,202213790,10205,4.1
206,202229298,10206,2.7
206,202212691,10206,4.3
206,202224505,10206,4.1
206,202227913,10206,3.2
206,202221219,10206,2.6
207,202216315,10207,3.6
207,202219326,10207,4.3
207,202224477,10207,4.4
207,202217643,10207,3.2
207,202229427,10207,4.5
208,202217119,10208,2.3
208,202224474,10208,2.3
208,202218542,10208,3.2
208,202215432,10208,3.3
208,202219610,10208,3.1
209,202217753,10209,3.8
209,202225209,10209,3.6
209,202227284,10209,2.7
209,202219983,10209,4.2
209,202226191,10209,4
210,202218450,10210,3.6
210,202226110,10210,4.1
210,202217719,10210,4.3
210,202225790,10210,3.8
210,202216403,10210,4.3
211,202228092,10211,3.2
211,202228273,10211,3.4
211,202226908,10211,4
211,202212306,10211,2.4
211,202227415,10211,2.4
212,202227426,10212,3
212,202228066,10212,2.6
212,202214368,10212,3.6
212,202216855,10212,3.1
212,202219315,10212,2.3
213,202221782,10213,4.6
213,202228244,10213,4.6
213,202227879,10213,3.6
213,202216981,10213,2.7
213,202216863,10213,2.9
214,202229442,10214,3.4
214,202218391,10214,4.3
214,202215050,10214,3.5
214,202225193,10214,3.2
214,202219205,10214,4.2
215,202219130,10215,3.4
215,202226445,10215,3.5
215,202214150,10215,3.2
215,202220018,10215,4.4
215,202218293,10215,2.6
216,202228782,10216,2.4
216,202212365,10216,3.4
216,202214830,10216,4.8
216,202214648,10216,3.8
216,202224787,10216,3.6
217,202223956,10217,3.2
217,202227451,10217,5
217,202223240,10217,2.8
217,202219337,10217,4.7
217,202227360,10217,4.7
218,202214114,10218,3.7
218,202224000,10218,2.6
218,202221486,10218,3.8
218,202227721,10218,3.4
218,202219841,10218,2.6
219,202214207,10219,2.6
219,202220198,10219,2.6
219,202212355,10219,4.5
219,202222021,10219,3.7
219,202213824,10219,3.7
220,202229471,10220,4.2
220,202228853,10220,3.3
220,202217155,10220,2.8
220,202215482,10220,4.3
220,202221019,10220,4.3
221,202221224,10221,3.6
221,202220732,10221,3.2
221,202228217,10221,2.3
221,202215315,10221,2.7
221,202217046,10221,4.4
222,202224819,10222,3
