,Category,Sub Category,Brand Name,Product Rating,Product Name,Name,Weight,MRP/Unit,Qnty,Unit Qnty,Cost Price,Product ID
17,Snacks & Namkeen,Branded Snacks,Act II,5,ACT II MW POPCORN NATURAL 33g,ACT II MW POPCORN NATURAL ,33g,25.0,11.0,1.0,223.19,202212018.0
18,Snacks & Namkeen,Branded Snacks,Act II,5,ACT II NACHOZ CHEESE 60g,ACT II NACHOZ CHEESE ,60g,35.0,7.0,1.0,170.45,202212019.0
19,Snacks & Namkeen,Branded Snacks,Act II,3,ACT II SALTED NACHOZ 60g,ACT II SALTED NACHOZ ,60g,30.0,6.0,1.0,146.1,202212020.0
20,Snacks & Namkeen,Branded Snacks,Act II,2,ACT II TOMATO NACHOZ 60g,ACT II TOMATO NACHOZ ,60g,70.0,4.0,1.0,214.32,202212021.0
21,Snacks & Namkeen,Branded Snacks,Act II,3,ACT-II DIETPOP ZRO ADD FAT 28g,ACT-II DIETPOP ZRO ADD FAT ,28g,25.0,11.0,1.0,219.23,202212022.0
22,Snacks & Namkeen,Branded Snacks,Act II,2,ACT-II NACHO MANGO SALSA 60g,ACT-II NACHO MANGO SALSA ,60g,30.0,6.0,1.0,143.46,202212023.0
23,Personal Care,Deodrant ,Adidas,4,ADIDAS DEO MEN PULSE 150ml,ADIDAS DEO MEN PULSE ,150ml,220.0,2.0,1.0,261.02,202212024.0
24,Household ,Air Freshner,Godrej,4,AER MATIC VIOLETMACHINE 225 ml,AER MATIC VIOLETMACHINE ,225 ml,499.0,2.0,1.0,679.38,202212025.0
25,Household ,Air Freshner,Godrej,5,AER MORNING MISTY SPRAY-270 ml,AER MORNING MISTY SPRAY-,270 ml,149.0,3.0,1.0,239.88,202212026.0
26,Household ,Air Freshner,Godrej,4,AER POCKET BRIGHT TANGY DELIGHT 5g,AER POCKET BRIGHT TANGY DELIGHT ,5g,55.0,6.0,1.0,239.7,202212027.0
27,Household ,Air Freshner,Godrej,5,AER POCKET FRESH LUSH GREEN 10,AER POCKET FRESH LUSH GREEN ,10,55.0,6.0,1.0,239.7,202212028.0
28,Household ,Air Freshner,Godrej,5,AER POCKET MORNING MISTY MEADOWS 5g,AER POCKET MORNING MISTY MEADOWS ,5g,55.0,6.0,1.0,239.7,202212029.0
29,Household ,Air Freshner,Godrej,3,AER POCKET PETAL CRUSH PINK 10,AER POCKET PETAL CRUSH PINK ,10,55.0,6.0,1.0,239.7,202212030.0
30,Household ,Air Freshner,Godrej,4,AER POCKET VOILET VALLEY BLOOM 5g,AER POCKET VOILET VALLEY BLOOM ,5g,55.0,15.0,1.0,599.25,202212031.0
31,Household ,Air Freshner,Godrej,3,AER SPRAY COOL SURF BLUE 240 ml,AER SPRAY COOL SURF BLUE ,240 ml,149.0,3.0,1.0,239.88,202212032.0
32,Household ,Air Freshner,Godrej,4,AER SPRAY PETALCRUSH PINK240 ml,AER SPRAY PETALCRUSH PINK,240 ml,149.0,3.0,1.0,239.88,202212033.0
33,Household ,Air Freshner,Godrej,5,AER SPRAY VIOLET VALLEY 240 ml,AER SPRAY VIOLET VALLEY ,240 ml,149.0,3.0,1.0,239.88,202212034.0
34,Household ,Air Freshner,Airwick,4,AIRWICK AEROSOL SAFFRON & ROSE 245ml,AIRWICK AEROSOL SAFFRON & ROSE ,245ml,149.0,3.0,1.0,286.98,202212035.0
35,Household ,Air Freshner,Airwick,3,AIRWICK NAGPUR NARANGI 245 ml,AIRWICK NAGPUR NARANGI ,245 ml,161.0,2.0,1.0,206.72,202212036.0
36,Household ,Insect Repellent,AllOut,3,ALL OUT RFLULTRA EXTRA 45ml ,ALL OUT RFLULTRA EXTRA ,45ml ,81.0,3.0,1.0,183.87,202212037.0
37,Household ,Insect Repellent,AllOut,4,ALL OUT SATTVA REFILL 45 ml,ALL OUT SATTVA REFILL ,45 ml,75.0,3.0,1.0,167.52,202212038.0
38,Household ,Insect Repellent,AllOut,4,ALL OUT ULTRA REFILL 45 ml,ALL OUT ULTRA REFILL ,45 ml,72.0,4.0,1.0,206.8,202212039.0
39,Household ,Insect Repellent,AllOut,4,ALLOUT PWR SLIDER + REFILL 45ml,ALLOUT PWR SLIDER + REFILL ,45ml,89.0,3.0,1.0,202.05,202212040.0
40,Household ,Insect Repellent,AllOut,3,ALLOUT RFL ULTRA 45ml,ALLOUT RFL ULTRA ,45ml,75.0,2.0,1.0,301.16,202212041.0
41,Household ,Insect Repellent,AllOut,2,ALLOUT Ul POWR+REFIL(FLORAL) 45ml,ALLOUT Ul POWR+REFIL(FLORAL) ,45ml,75.0,3.0,1.0,163.44,202212042.0
42,Health and Beauty,Health and Beauty,"Herbal Medicines & Pain Relief Ointments , Balms",3,AMRUTANJAN STRNGPAIN BALM27.5ml,AMRUTANJAN STRNGPAIN BALM,27.5ml,90.0,3.0,1.0,202.59,202212043.0
43,"Food Grains, Oli and Masala",Ghee,Amul ,5,AMUL COW GHEE 1000ml,AMUL COW GHEE ,1000ml,515.0,2.0,1.0,857.14,202212044.0
44,"Food Grains, Oli and Masala",Ghee,Amul ,5,AMUL GHEE 1000 ml ,AMUL GHEE ,1000 ml ,520.0,4.0,1.0,1610.72,202212045.0
45,Dairy and Bakery ,Dairy Whitener,Amulya,5,AMULYA DAIRY WHITENER REFILL 200g ,AMULYA DAIRY WHITENER REFILL ,200g ,85.0,6.0,1.0,427.2,202212046.0
46,Beverages,Fruit Juices,Appy Fizz,2,APPY TETRA 160 ml,APPY TETRA ,160 ml,10.0,40.0,1.0,307.6,202212047.0
47,Household ,"Dry Detergent , Liquid Detergent,  Detergent Washing Bar ",Ariel,5,ARIEL COMPLETE 2KG+1 kg,ARIEL COMPLETE ,2KG+1 kg,580.0,2.0,1.0,893.68,202212048.0
48,Household ,Liquid Detergent,Ariel,4,ARIEL LIQUID FL 1L,ARIEL LIQUID FL ,1L,235.0,2.0,1.0,279.66,202212049.0
49,Household ,Liquid Detergent,Ariel,4,ARIEL LIQUID TL 1L,ARIEL LIQUID TL ,1L,210.0,2.0,1.0,245.76,202212050.0
50,Household ,"Disinfectants Liquid , Wipes, Floor Cleaner and Toilet Cleaners",Aro,4,ARO GLASS CLNR 500 ml ,ARO GLASS CLNR ,500 ml ,89.0,3.0,1.0,206.49,202212051.0
51,Personal Care,Grooming and Shaving Care,Axe,4,AXE DENIM AFT SHAVE LOTION 50 ml,AXE DENIM AFT SHAVE LOTION ,50 ml,130.0,2.0,1.0,204.02,202212052.0
52,Personal Care,Grooming and Shaving Care,Axe,5,AXE DENIM SHAVING CREAM 60g,AXE DENIM SHAVING CREAM ,60g,68.0,3.0,1.0,135.39,202212053.0
53,Personal Care,Deodrant ,Axe,3,AXE DEO DARK TEMPTATION 150ml,AXE DEO DARK TEMPTATION ,150ml,200.0,2.0,1.0,219.7,202212054.0
54,Personal Care,Deodrant ,Axe,2,AXE DEO PROVOKE 150 ml,AXE DEO PROVOKE ,150 ml,200.0,2.0,1.0,219.7,202212055.0
55,Personal Care,Deodrant ,Axe,2,AXE DEO PULSE 150ml,AXE DEO PULSE ,150ml,200.0,2.0,1.0,219.7,202212056.0
56,Personal Care,Deodrant ,Axe,4,AXE GOLD TEMPTATION DEO 150 ml,AXE GOLD TEMPTATION DEO ,150 ml,200.0,2.0,1.0,219.7,202212057.0
57,Personal Care,Luxury Bathing ,Axe,3,AXE SHOWER GEL ANTI 250ml,AXE SHOWER GEL ANTI ,250ml,225.0,2.0,1.0,325.94,202212058.0
58,Personal Care,Luxury Bathing ,Axe,3,AXE SHOWER GEL PEACE 250ml,AXE SHOWER GEL PEACE ,250ml,225.0,2.0,1.0,325.94,202212059.0
59,Personal Care,Deodrant ,Axe,4,AXE SIGN BODY PERF-SUAVE 122 ml,AXE SIGN BODY PERF-SUAVE ,122 ml,190.0,2.0,1.0,234.36,202212060.0
60,Personal Care,Deodrant ,Axe,4,AXE SIGN DARK TEMPTN 122ml,AXE SIGN DARK TEMPTN ,122ml,190.0,2.0,1.0,234.36,202212061.0
61,Personal Care,Deodrant ,Axe,3,AXE SIGN PERF-INTENSE 122ml,AXE SIGN PERF-INTENSE ,122ml,190.0,2.0,1.0,234.36,202212062.0
62,Personal Care,Deodrant ,Axe,2,AXE SIGN TICKET DARK TEMP 17ml,AXE SIGN TICKET DARK TEMP ,17ml,65.0,8.0,1.0,335.76,202212063.0
63,Personal Care,Deodrant ,Axe,2,AXE SIGN TICKET PERFUME 17ml,AXE SIGN TICKET PERFUME ,17ml,65.0,6.0,1.0,251.82,202212064.0
64,Dairy and Bakery ,Baking Esentials,Brown and Polson,1,B&P CORNFLOUR 500g,B&P CORNFLOUR ,500g,77.0,2.0,1.0,123.74,202212065.0
65,Hygiene and Beauty,Oral Care,Babool,1,BABOOL TOOTHPASTE 175+175g,BABOOL TOOTHPASTE ,175+175g,99.0,2.0,1.0,155.36,202212066.0
66,Health and Beauty,Suppliments and Proteins,Baidyanath ,3,BAIDYANATH CHAWANPRASH 500g,BAIDYANATH CHAWANPRASH ,500g,180.0,2.0,1.0,274.3,202212067.0
67,Beauty,Hair Care & Hair Oil,Bajaj,2,BAJAJ ALMOND DROP OIL 100ml,BAJAJ ALMOND DROP OIL ,100ml,65.0,3.0,1.0,147.54,202212068.0
68,Snacks & Namkeen,"Pasta , Macaroni and Noodles",Bambino,3,BAMBINO MACRONI ELBOW 450g,BAMBINO MACRONI ELBOW ,450g,49.0,3.0,1.0,115.5,202212069.0
69,Snacks & Namkeen,"Pasta , Macaroni and Noodles",Bambino,5,BAMBINO ROASTED VERMICELLI 400g,BAMBINO ROASTED VERMICELLI ,400g,55.0,6.0,1.0,280.62,202212070.0
70,Medical,Adhesives ,Johnsons and Johnsons,4,BAND-AID FLEXI 100u,BAND-AID FLEXI ,100u,200.0,1.0,130.0,151.33,202212071.0
71,Medical,Adhesives ,Johnsons and Johnsons,3,BAND-AID WASHPROOF 1u,BAND-AID WASHPROOF ,1u,250.0,1.0,130.0,189.16,202212072.0
72,Household ,Insect Repellent,Baygon,4,BAYGON CRWLNG INSCT KLR 625 ml,BAYGON CRWLNG INSCT KLR ,625 ml,266.0,3.0,1.0,561.57,202212073.0
73,Household ,Insect Repellent,Baygon,2,BAYGON INSECT FIK LIME 625 ml,BAYGON INSECT FIK LIME ,625 ml,266.0,3.0,1.0,603.84,202212074.0
74,Beauty,Hair Care & Hair Oil,Beardo,3,BEARDO STRONG HOLD HAIRWAX 50g,BEARDO STRONG HOLD HAIRWAX ,50g,195.0,4.0,1.0,564.96,202212075.0
75,Snacks & Namkeen,Branded Snacks,Bikano,2,BIKANO BADAM LACHHA 400g,BIKANO BADAM LACHHA ,400g,163.0,5.0,1.0,618.5,202212076.0
76,Snacks & Namkeen,Branded Snacks,Bikano,2,BIKANO BHEL PURI 200g,BIKANO BHEL PURI ,200g,45.0,5.0,1.0,170.8,202212077.0
77,Snacks & Namkeen,Branded Snacks,Bikano,2,BIKANO BIKANERI BHUJIA 200g,BIKANO BIKANERI BHUJIA ,200g,48.0,4.0,1.0,145.72,202212078.0
78,Snacks & Namkeen,Branded Snacks,Bikano,2,BIKANO DAL MOTH 200g,BIKANO DAL MOTH ,200g,45.0,4.0,1.0,136.64,202212079.0
79,Snacks & Namkeen,Branded Snacks,Bikano,1,BIKANO GULAB JAMUN 1 kg,BIKANO GULAB JAMUN ,1 kg,210.0,3.0,1.0,510.0,202212080.0
80,Snacks & Namkeen,Branded Snacks,Bikano,2,BIKANO KHATTA MEETHA 200g,BIKANO KHATTA MEETHA ,200g,48.0,4.0,1.0,136.56,202212081.0
81,Snacks & Namkeen,Branded Snacks,Bikano,3,BIKANO MOONG DAL PLAIN 200g,BIKANO MOONG DAL PLAIN ,200g,50.0,4.0,1.0,151.8,202212082.0
82,Snacks & Namkeen,Branded Snacks,Bikano,2,BIKANO RAJBHOG 1 kg,BIKANO RAJBHOG ,1 kg,210.0,6.0,1.0,1020.0,202212083.0
83,Snacks & Namkeen,Branded Snacks,Bingo,3,BINGO M ANG ACH MST 72.5g,BINGO M ANG ACH MST ,72.5g,20.0,10.0,1.0,158.0,202212084.0
84,Snacks & Namkeen,Branded Snacks,Bingo,2,BINGO M ANG MAS MAD 72.5g,BINGO M ANG MAS MAD ,72.5g,20.0,5.0,1.0,81.9,202212085.0
85,Snacks & Namkeen,Branded Snacks,Bingo,3,BINGO M ANG TOM MADNESS72.5g,BINGO M ANG TOM MADNESS,72.5g,20.0,5.0,1.0,81.9,202212086.0
86,Snacks & Namkeen,Branded Snacks,Bingo,2,BINGO M.ANG ACHRI MSTI 18gPK15,BINGO M.ANG ACHRI MSTI ,18gPK15,5.0,1.0,15.0,60.88,202212087.0
87,Snacks & Namkeen,Branded Snacks,Bingo,1,BINGO M.ANG CHAT MSTI 36.5gPK9,BINGO M.ANG CHAT MSTI ,36.5gPK9,10.0,1.0,9.0,73.05,202212088.0
88,Snacks & Namkeen,Branded Snacks,Bingo,1,BINGO M.ANG MSL MADNS 36.5gPK9,BINGO M.ANG MSL MADNS ,36.5gPK9,10.0,1.0,9.0,73.05,202212089.0
89,Snacks & Namkeen,Branded Snacks,Bingo,1,BINGO M.ANG TMTO MADNS36.5gPK9,BINGO M.ANG TMTO MADNS,36.5gPK9,10.0,1.0,9.0,73.05,202212090.0
90,Beauty,Hair Care & Hair Oil,Biotique,2,BIO AYURVEDA GRN APLE SH 650ml,BIO AYURVEDA GRN APLE SH ,650ml,430.0,2.0,1.0,383.92,202212091.0
91,Beauty,Hair Care & Hair Oil,Biotique,3,BIO AYURVEDA KELP SH 650ml,BIO AYURVEDA KELP SH ,650ml,430.0,2.0,1.0,383.92,202212092.0
92,Beauty,Hair Care & Hair Oil,Biotique,4,BIO AYURVEDA NEEM SH 650ml,BIO AYURVEDA NEEM SH ,650ml,430.0,2.0,1.0,383.92,202212093.0
93,Beauty,Skin Care,Biotique,2,BIO FRUIT WHITENING FACEPACK 75g,BIO FRUIT WHITENING FACEPACK ,75g,199.0,2.0,1.0,177.68,202212094.0
94,Beauty,Hair Care & Hair Oil,Biotique,3,BIO HERBAL CLR 4N BROWN 50g+110ml,BIO HERBAL CLR ,4N BROWN 50g+110ml,0.0,2.0,1.0,283.9,202212095.0
95,Gourmet Foods,Cookies and Biscuits,Americana,2,BONN AMERICANA COCONUT 90g,BONN AMERICANA COCONUT ,90g,10.0,12.0,1.0,88.44,202212096.0
96,Beverages,Suppliments and Proteins for Kids,Boost ,1,BOOST PLUS 450g JAR,BOOST PLUS ,450g JAR,215.0,2.0,1.0,337.42,202212097.0
97,"Food Grains, Oli and Masala",Cooking & Seasoning Edible Oils,Borges,3,BORGES CANOLA OIL 1l PET,BORGES CANOLA OIL ,1l PET,399.0,4.0,1.0,758.08,202212098.0
98,Snacks & Namkeen,"Pasta , Macaroni and Noodles",Borges,3,BORGES PENNE RIGATE PASTA 500g,BORGES PENNE RIGATE PASTA ,500g,210.0,2.0,1.0,187.5,202212099.0
99,Beauty,Skin Care,Boro Plus,4,BOROPLUS ANTISEPTIC CREAM 40 ml,BOROPLUS ANTISEPTIC CREAM ,40 ml,70.0,6.0,1.0,326.82,202212100.0
100,Beauty,Skin Care,Boro Plus,3,BOROPLUS ANTISEPTIC CRM 120 ml,BOROPLUS ANTISEPTIC CRM ,120 ml,150.0,2.0,1.0,225.0,202212101.0
101,Beauty,Skin Care,Boro Plus,4,BOROPLUS ANTISEPTIC SOAP 75g,BOROPLUS ANTISEPTIC SOAP ,75g,25.0,14.0,1.0,248.92,202212102.0
102,Gourmet Foods,Cookies and Biscuits,Bournvita ,3,BOURNVITA BISCUIT 120g,BOURNVITA BISCUIT ,120g,30.0,15.0,1.0,346.65,202212103.0
103,Snacks & Namkeen,Branded Snacks,Brijnandan,1,BRIJNANDAN ALU CHIPS 180g,BRIJNANDAN ALU CHIPS ,180g,80.0,4.0,1.0,142.88,202212104.0
104,Snacks & Namkeen,Branded Snacks,Brijnandan,1,BRIJNANDAN BUNDI PLAIN 200g,BRIJNANDAN BUNDI PLAIN ,200g,75.0,2.0,1.0,66.96,202212105.0
105,Snacks & Namkeen,Branded Snacks,Brijnandan,2,BRIJNANDAN RICE RING 100g,BRIJNANDAN RICE RING ,100g,45.0,2.0,1.0,40.18,202212106.0
106,Gourmet Foods,Cookies and Biscuits,Britannia,4,BRITANNIA 50-50 200g,BRITANNIA ,50-50 200g,25.0,6.0,1.0,115.56,202212107.0
107,Gourmet Foods,Cookies and Biscuits,Britannia,5,BRITANNIA 50-50 MASKA CHASKA 120g,BRITANNIA ,50-50 MASKA CHASKA 120g,30.0,10.0,1.0,224.1,202212108.0
108,Gourmet Foods,Cookies and Biscuits,Britannia,4,BRITANNIA BOURBON 120g,BRITANNIA BOURBON ,120g,20.0,3.0,5.0,181.59,202212109.0
109,Gourmet Foods,Cookies and Biscuits,Britannia,4,BRITANNIA BOURBON COMBI 600g,BRITANNIA BOURBON COMBI ,600g,0.0,1.0,1.0,62.77,202212110.0
110,Gourmet Foods,Cookies and Biscuits,Britannia,3,BRITANNIA BOURBON TREAT 150g,BRITANNIA BOURBON TREAT ,150g,0.0,10.0,1.0,221.2,202212111.0
111,Gourmet Foods,Cookies and Biscuits,Britannia,3,BRITANNIA GOODDAY BUTTER 150g,BRITANNIA GOODDAY BUTTER ,150g,20.0,11.0,1.0,169.4,202212112.0
112,Gourmet Foods,Cookies and Biscuits,Britannia,4,BRITANNIA GOODDAY CASHEW 600g,BRITANNIA GOODDAY CASHEW ,600g,120.0,4.0,1.0,354.2,202212113.0
113,Gourmet Foods,Cookies and Biscuits,Britannia,4,BRITANNIA GOODDAY CHOCOCHIP 100g,BRITANNIA GOODDAY CHOCOCHIP ,100g,30.0,22.0,1.0,447.48,202212114.0
114,Gourmet Foods,Cookies and Biscuits,Britannia,5,BRITANNIA JIM JAM TREAT 150g,BRITANNIA JIM JAM TREAT ,150g,35.0,10.0,1.0,258.1,202212115.0
115,Gourmet Foods,Cookies and Biscuits,Britannia,4,BRITANNIA LITTLE HEARTS 75g,BRITANNIA LITTLE HEARTS ,75g,20.0,10.0,1.0,147.5,202212116.0
116,Gourmet Foods,Cookies and Biscuits,Britannia,5,BRITANNIA MARIE GOLD 250g,BRITANNIA MARIE GOLD ,250g,30.0,4.0,1.0,86.56,202212117.0
117,Gourmet Foods,Cookies and Biscuits,Britannia,5,BRITANNIA MARIE GOLD 89+11g S Pk6,BRITANNIA MARIE GOLD ,89+11g S Pk6,0.0,1.0,6.0,46.23,202212118.0
118,Gourmet Foods,Cookies and Biscuits,Britannia,3,BRITANNIA MILK RUSK 182g,BRITANNIA MILK RUSK ,182g,0.0,8.0,1.0,204.08,202212119.0
119,Gourmet Foods,Cookies and Biscuits,Britannia,4,BRITANNIA NICE TIME FP 150g,BRITANNIA NICE TIME FP ,150g,25.0,21.0,1.0,387.03,202212120.0
120,Gourmet Foods,Cookies and Biscuits,Britannia,5,BRITANNIA NUTRI CHOICE MULTIGRAIN 200g,BRITANNIA NUTRI CHOICE MULTIGRAIN ,200g,60.0,6.0,1.0,272.4,202212121.0
121,Gourmet Foods,Cookies and Biscuits,Britannia,4,BRITANNIA NUTRICHOICE DIGESTIVE150g,BRITANNIA NUTRICHOICE DIGESTIVE,150g,40.0,4.0,1.0,121.08,202212122.0
122,Gourmet Foods,Cookies and Biscuits,Britannia,4,BRITANNIA RUSK 400g,BRITANNIA RUSK ,400g,58.0,4.0,1.0,184.12,202212123.0
123,Beverages,Coffee,Bru ,3,BRU INSTANT POLY RELAUNCH 100g,BRU INSTANT POLY RELAUNCH ,100g,170.0,3.0,1.0,394.71,202212124.0
124,Beverages,Coffee,Bru ,4,BRU GOLD INSTANT COFFEE 100g,BRU GOLD INSTANT COFFEE ,100g,0.0,1.0,1.0,134.02,202212125.0
125,Personal Care,Deodrant ,Brut,5,BRUT ORIGINAL DEO 200 ml,BRUT ORIGINAL DEO ,200 ml,299.0,6.0,1.0,722.19,202212126.0
126,Personal Care,Deodrant ,Brut,5,BRUT SPORTS STYLE DEO 200 ml,BRUT SPORTS STYLE DEO ,200 ml,299.0,6.0,1.0,722.19,202212127.0
127,Beauty,Skin Care,Bombay Shaving Company,2,BSC CHARCOAL BATH SOAP 125g,BSC CHARCOAL BATH SOAP ,125g,125.0,10.0,1.0,686.4,202212128.0
128,Beauty,Skin Care,Bombay Shaving Company,1,BSC CHARCOAL BATH SOAP 125g,BSC CHARCOAL BATH SOAP ,125g,125.0,6.0,1.0,411.84,202212129.0
129,Beauty,Skin Care,Bombay Shaving Company,3,BSC CHARCOAL SHAVING FOAM266ml,BSC CHARCOAL SHAVING FOAM,266ml,245.0,2.0,1.0,207.62,202212130.0
130,Beauty,Skin Care,Clean and Clear,1,C & C MORNING FW BERRY 50ml,C & C MORNING FW BERRY ,50ml,0.0,3.0,1.0,173.85,202212131.0
131,Beauty,Skin Care,Clean and Clear,3,C & C MORNING FW LEMON 50ml,C & C MORNING FW LEMON ,50ml,0.0,3.0,1.0,173.85,202212132.0
132,Beverages,Suppliments and Proteins for Kids,Cadbury,2,CADBURY BOURNVITA 1kg,CADBURY BOURNVITA ,1kg,410.0,2.0,1.0,618.4,202212133.0
133,Beverages,Suppliments and Proteins for Kids,Cadbury,4,CADBURY BOURNVITA 500g,CADBURY BOURNVITA ,500g,223.0,2.0,1.0,335.6,202212134.0
134,Beverages,Suppliments and Proteins for Kids,Cadbury,5,CADBURY BOURNVITA 500g ,CADBURY BOURNVITA ,500g ,209.0,4.0,1.0,644.04,202212135.0
135,Beverages,Suppliments and Proteins for Kids,Cadbury,5,CADBURY BRNVITA LI'L CHAMP 500g,CADBURY BRNVITA LI'L CHAMP ,500g,299.0,2.0,1.0,462.98,202212136.0
136,Gourmet Foods,Confectionery,Cadbury,4,CADBURY CHOCLAIR GLD COFEEE CANDIES 5.5g 115U,CADBURY CHOCLAIR GLD COFEEE CANDIES ,5.5g 115U,200.0,2.0,115.0,294.76,202212137.0
137,Dairy and Bakery ,Baking Esentials,Cadbury,3,CADBURY COCOA POWDER 150g,CADBURY COCOA POWDER ,150g,223.0,2.0,1.0,359.06,202212138.0
138,Gourmet Foods,Cookies and Biscuits,Cadbury,1,CADBURY OREO 18.52g,CADBURY OREO ,18.52g,5.0,2.0,10.0,242.12,202212139.0
139,Gourmet Foods,Cookies and Biscuits,Cadbury,4,CADBURY OREO CHOCO CRM 120g,CADBURY OREO CHOCO CRM ,120g,30.0,12.0,1.0,272.4,202212140.0
140,Gourmet Foods,Cookies and Biscuits,Cadbury,2,CADBURY OREO ORGNL VANILA 120G,CADBURY OREO ORGNL VANILA ,120G,30.0,10.0,1.0,217.4,202212141.0
141,Gourmet Foods,Cookies and Biscuits,Cadbury,1,CADBURY OREO S'BERRY CRM 120g,CADBURY OREO S'BERRY CRM ,120g,30.0,12.0,1.0,277.32,202212142.0
142,Gourmet Foods,Confectionery,ITC Candyman,1,CANDYMAN TOFFICHO STRBRY 290g,CANDYMAN TOFFICHO STRBRY ,290g,50.0,3.0,1.0,110.79,202212143.0
143,"Food Grains, Oli and Masala",Masalas and Spiced Masalas,Catch ,2,CATCH AMCHUR POWDER 100 g,CATCH AMCHUR POWDER ,100 g,80.0,3.0,1.0,153.12,202212144.0
144,"Food Grains, Oli and Masala",Masalas and Spiced Masalas,Catch ,5,CATCH CHAT MASALA SPRNKLR 100g,CATCH CHAT MASALA SPRNKLR ,100g,68.0,7.0,1.0,385.35,202212145.0
145,"Food Grains, Oli and Masala",Masalas and Spiced Masalas,Catch ,3,CATCH DHANIYA PWDR 200g,CATCH DHANIYA PWDR ,200g,57.0,6.0,1.0,218.22,202212146.0
146,"Food Grains, Oli and Masala",Masalas and Spiced Masalas,Catch ,3,CATCH DRY GINGER POWDER 100g,CATCH DRY GINGER POWDER ,100g,75.0,3.0,1.0,143.55,202212147.0
147,"Food Grains, Oli and Masala",Masalas and Spiced Masalas,Catch ,2,CATCH FLAVOUR WATER PEACH 750m,CATCH FLAVOUR WATER PEACH ,750m,50.0,12.0,1.0,366.36,202212148.0
148,"Food Grains, Oli and Masala",Masalas and Spiced Masalas,Catch ,2,CATCH FLVR WATER LEM & LIME 750 ml,CATCH FLVR WATER LEM & LIME ,750 ml,50.0,12.0,1.0,366.36,202212149.0
149,"Food Grains, Oli and Masala",Masalas and Spiced Masalas,Catch ,3,CATCH FLVR WTR BLCKCURANT 750m,CATCH FLVR WTR BLCKCURANT ,750m,50.0,12.0,1.0,366.36,202212150.0
