orderid,productid,userid,subproductid,totalprice,orderdate,quantity
7,202225975,10007,300 g Carton,0,2022-03-25 23:52:36.958531,1
7,202225961,10007,300 g Pouch,0,2022-03-25 23:52:36.958531,1
7,202225965,10007,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
7,202225971,10007,300 g Carton,0,2022-03-25 23:52:36.958531,1
8,202225973,10008,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
8,202225971,10008,300 g Carton,0,2022-03-25 23:52:36.958531,1
8,202225967,10008,285 g ,0,2022-03-25 23:52:36.958531,1
8,202225963,10008,130 g ,0,2022-03-25 23:52:36.958531,1
8,202214349,10008,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
9,202214340,10009,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
9,202214342,10009,330 g ,0,2022-03-25 23:52:36.958531,1
9,202214344,10009,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
9,202214347,10009,285 g ,0,2022-03-25 23:52:36.958531,1
9,202214346,10009,300 g Carton,0,2022-03-25 23:52:36.958531,1
10,202214344,10010,2x150 g Multipack ,0,2022-03-25 23:52:36.958531,1
10,202214348,10010,80 g  ,0,2022-03-25 23:52:36.958531,1
10,202214341,10010,2x175 g Multipack ,0,2022-03-25 23:52:36.958531,1
10,202214343,10010,75 Stems/150 Swabs  ,0,2022-03-25 23:52:36.958531,1
10,202214346,10010,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
11,202214348,10011,3X500 ml Multipack ,0,2022-03-25 23:52:36.958531,1
11,202214342,10011,50 g (Pack of 6),0,2022-03-25 23:52:36.958531,1
11,202214342,10011,500 ml ,0,2022-03-25 23:52:36.958531,1
11,202214341,10011,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
11,202214348,10011,1 L  ,0,2022-03-25 23:52:36.958531,1
12,202214348,10012,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
12,202214341,10012,375 g Bottle,0,2022-03-25 23:52:36.958531,1
12,202214350,10012,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
12,202214349,10012,500 ml  ,0,2022-03-25 23:52:36.958531,1
12,202214555,10012,500 ml ,0,2022-03-25 23:52:36.958531,1
13,202214547,10013,500 ml  ,0,2022-03-25 23:52:36.958531,1
13,202214553,10013,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
13,202214552,10013,500 ml Bottle,0,2022-03-25 23:52:36.958531,1
13,202214556,10013,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
13,202214550,10013,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
14,202214550,10014,500 ml ,0,2022-03-25 23:52:36.958531,1
14,202214556,10014,500 ml ,0,2022-03-25 23:52:36.958531,1
14,202214552,10014,500 ml Bottle,0,2022-03-25 23:52:36.958531,1
14,202214552,10014,500 ml ,0,2022-03-25 23:52:36.958531,1
14,202214554,10014,500 ml ,0,2022-03-25 23:52:36.958531,1
15,202214552,10015,700 ml ,0,2022-03-25 23:52:36.958531,1
15,202214552,10015,1 pc ,0,2022-03-25 23:52:36.958531,1
15,202214555,10015,700 ml ,0,2022-03-25 23:52:36.958531,1
15,202214556,10015,4 pcs ,0,2022-03-25 23:52:36.958531,1
15,202214555,10015,2 pcs ,0,2022-03-25 23:52:36.958531,1
16,202214549,10016,500 ml (Pack of 2) ,0,2022-03-25 23:52:36.958531,1
16,202214545,10016,110 ml (Pack of 2) ,0,2022-03-25 23:52:36.958531,1
16,202214550,10016,250 ml (Pack of 2),0,2022-03-25 23:52:36.958531,1
16,202214550,10016,250 ml (Pack of 4) ,0,2022-03-25 23:52:36.958531,1
16,202225975,10016,250 ml (Pack of 3),0,2022-03-25 23:52:36.958531,1
17,202225961,10017,500 ml ,0,2022-03-25 23:52:36.958531,1
17,202225965,10017,30 pcs ,0,2022-03-25 23:52:36.958531,1
17,202225971,10017,500 ml ,0,2022-03-25 23:52:36.958531,1
17,202225973,10017,450 ml ,0,2022-03-25 23:52:36.958531,1
17,202225971,10017,6x45 g Multipack ,0,2022-03-25 23:52:36.958531,1
18,202225967,10018,6x45 g Multipack ,0,2022-03-25 23:52:36.958531,1
18,202225963,10018,45 g Pouch,0,2022-03-25 23:52:36.958531,1
18,202214349,10018,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
18,202214340,10018,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
18,202214342,10018,45 g ,0,2022-03-25 23:52:36.958531,1
19,202214344,10019,150 g (Pack of 2),0,2022-03-25 23:52:36.958531,1
19,202214347,10019,100 g Pack of 4,0,2022-03-25 23:52:36.958531,1
19,202214346,10019,45 g ,0,2022-03-25 23:52:36.958531,1
19,202214344,10019,150 g (Pack of 2),0,2022-03-25 23:52:36.958531,1
19,202214348,10019,45 g Pouch,0,2022-03-25 23:52:36.958531,1
20,202214341,10020,45 g ,0,2022-03-25 23:52:36.958531,1
20,202214343,10020,250 g (Pack of 3),0,2022-03-25 23:52:36.958531,1
20,202214346,10020,45 g ,0,2022-03-25 23:52:36.958531,1
20,202214348,10020,150 g (Pack of 2),0,2022-03-25 23:52:36.958531,1
20,202214399,10020,100 g Pack of 4,0,2022-03-25 23:52:36.958531,1
21,202214399,10021,100 g Pack of 4,0,2022-03-25 23:52:36.958531,1
21,202214392,10021,100 g Pack of 2,0,2022-03-25 23:52:36.958531,1
21,202214393,10021,100 g Pack of 2,0,2022-03-25 23:52:36.958531,1
21,202214396,10021,100 g ,0,2022-03-25 23:52:36.958531,1
21,202214393,10021,160 g (Pack of 2),0,2022-03-25 23:52:36.958531,1
22,202214398,10022,100 g ,0,2022-03-25 23:52:36.958531,1
22,202214396,10022,70 g ,0,2022-03-25 23:52:36.958531,1
22,202214397,10022,115 g ,0,2022-03-25 23:52:36.958531,1
22,202214400,10022,100 g ,0,2022-03-25 23:52:36.958531,1
22,202225965,10022,100 g ,0,2022-03-25 23:52:36.958531,1
23,202225973,10023,2 L  ,0,2022-03-25 23:52:36.958531,1
23,202225969,10023,750 ml Bottle ,0,2022-03-25 23:52:36.958531,1
23,202225957,10023,750 ml Bottle ,0,2022-03-25 23:52:36.958531,1
23,202225973,10023,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
23,202225964,10023,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
24,202225972,10024,2 x 24 Tablets Multipack ,0,2022-03-25 23:52:36.958531,1
24,202225975,10024,500 ml ,0,2022-03-25 23:52:36.958531,1
24,202225964,10024,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
24,202225957,10024,500 ml Bottle ,0,2022-03-25 23:52:36.958531,1
24,202214342,10024,500 ml ,0,2022-03-25 23:52:36.958531,1
25,202214341,10025,225 ml  ,0,2022-03-25 23:52:36.958531,1
25,202214348,10025,900 ml (Buy 1 Get 1 Free) ,0,2022-03-25 23:52:36.958531,1
25,202214348,10025,425 ml  ,0,2022-03-25 23:52:36.958531,1
25,202214341,10025,750 ml ,0,2022-03-25 23:52:36.958531,1
25,202214350,10025,2 L ,0,2022-03-25 23:52:36.958531,1
26,202214349,10026,500 ml ,0,2022-03-25 23:52:36.958531,1
26,202214555,10026,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
26,202214547,10026,120 ml  ,0,2022-03-25 23:52:36.958531,1
26,202214553,10026,200 g Pack of 4,0,2022-03-25 23:52:36.958531,1
26,202214552,10026,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
27,202214556,10027,500 ml  ,0,2022-03-25 23:52:36.958531,1
27,202214550,10027,500 ml  ,0,2022-03-25 23:52:36.958531,1
27,202214550,10027,750 ml  ,0,2022-03-25 23:52:36.958531,1
27,202214556,10027,500 ml ,0,2022-03-25 23:52:36.958531,1
27,202214552,10027,500 ml Bottle,0,2022-03-25 23:52:36.958531,1
28,202214552,10028,500 ml Bottle,0,2022-03-25 23:52:36.958531,1
28,202214554,10028,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
28,202214552,10028,2x1kg Multipack ,0,2022-03-25 23:52:36.958531,1
28,202214552,10028,425 ml Bottle ,0,2022-03-25 23:52:36.958531,1
28,202220317,10028,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
29,202219429,10029,2x500ml Multipack ,0,2022-03-25 23:52:36.958531,1
29,202220820,10029,2x1kg Multipack ,0,2022-03-25 23:52:36.958531,1
29,202220214,10029,Combo 4 Items,0,2022-03-25 23:52:36.958531,1
29,202219100,10029,1 L Bottle ,0,2022-03-25 23:52:36.958531,1
29,202219493,10029,30 pcs (540 g),0,2022-03-25 23:52:36.958531,1
30,202220314,10030,900 ml ,0,2022-03-25 23:52:36.958531,1
30,202220376,10030,1 kg  ,0,2022-03-25 23:52:36.958531,1
30,202219103,10030,140 ml (Buy 2 Get 1 Free),0,2022-03-25 23:52:36.958531,1
30,202219900,10030,2 x 500 ml Multipack ,0,2022-03-25 23:52:36.958531,1
30,202220985,10030,500 ml ,0,2022-03-25 23:52:36.958531,1
31,202220326,10031,1 L ,0,2022-03-25 23:52:36.958531,1
31,202221155,10031,500 ml (For Dishwasher Machine),0,2022-03-25 23:52:36.958531,1
31,202220175,10031,500 ml ,0,2022-03-25 23:52:36.958531,1
31,202220619,10031,Combo 3 Items,0,2022-03-25 23:52:36.958531,1
31,202219302,10031,500 ml ,0,2022-03-25 23:52:36.958531,1
32,202219327,10032,500 ml ,0,2022-03-25 23:52:36.958531,1
32,202219077,10032,240 g ,0,2022-03-25 23:52:36.958531,1
32,202219552,10032,500 ml ,0,2022-03-25 23:52:36.958531,1
32,202220820,10032,150 g  ,0,2022-03-25 23:52:36.958531,1
32,202221119,10032,150 g  ,0,2022-03-25 23:52:36.958531,1
33,202220000,10033,60 g  ,0,2022-03-25 23:52:36.958531,1
33,202219590,10033,2x60 g Multipack ,0,2022-03-25 23:52:36.958531,1
33,202219154,10033,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
33,202219281,10033,2x150 g Multipack ,0,2022-03-25 23:52:36.958531,1
33,202220336,10033,60 g  ,0,2022-03-25 23:52:36.958531,1
34,202220377,10034,Combo 4 Items,0,2022-03-25 23:52:36.958531,1
34,202219960,10034,3x6 pcs Multipack ,0,2022-03-25 23:52:36.958531,1
34,202221021,10034,2x150 g Multipack ,0,2022-03-25 23:52:36.958531,1
34,202220950,10034,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
34,202220144,10034,2x60 g Multipack ,0,2022-03-25 23:52:36.958531,1
35,202219514,10035,100 g ,0,2022-03-25 23:52:36.958531,1
35,202221019,10035,2x150 g Multipack ,0,2022-03-25 23:52:36.958531,1
35,202219185,10035,12 pcs ,0,2022-03-25 23:52:36.958531,1
35,202219580,10035,2x150 g Multipack ,0,2022-03-25 23:52:36.958531,1
35,202220899,10035,2x60 g Multipack ,0,2022-03-25 23:52:36.958531,1
36,202220159,10036,2 x 60 g Multipack ,0,2022-03-25 23:52:36.958531,1
36,202219651,10036,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
36,202220235,10036,52 g ,0,2022-03-25 23:52:36.958531,1
36,202220858,10036,348 g ,0,2022-03-25 23:52:36.958531,1
36,202221095,10036,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
37,202220125,10037,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
37,202220650,10037,60 g ,0,2022-03-25 23:52:36.958531,1
37,202221007,10037,2x60 g Multipack ,0,2022-03-25 23:52:36.958531,1
37,202219522,10037,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
37,202219510,10037,2x100 g Multipack ,0,2022-03-25 23:52:36.958531,1
38,202221127,10038,19+4g ,0,2022-03-25 23:52:36.958531,1
38,202219611,10038,70 g ,0,2022-03-25 23:52:36.958531,1
38,202220694,10038,140 g  ,0,2022-03-25 23:52:36.958531,1
38,202220842,10038,70 g ,0,2022-03-25 23:52:36.958531,1
38,202220150,10038,70 g ,0,2022-03-25 23:52:36.958531,1
39,202219114,10039,100 g Pouch ,0,2022-03-25 23:52:36.958531,1
39,202219979,10039,125 g ,0,2022-03-25 23:52:36.958531,1
39,202221088,10039,3 x 30 g Multipack ,0,2022-03-25 23:52:36.958531,1
39,202220577,10039,2 x 60 g Multipack ,0,2022-03-25 23:52:36.958531,1
39,202220815,10039,70 g ,0,2022-03-25 23:52:36.958531,1
40,202219420,10040,100 g ,0,2022-03-25 23:52:36.958531,1
40,202220487,10040,150 g  ,0,2022-03-25 23:52:36.958531,1
40,202219720,10040,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
40,202219800,10040,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
40,202219199,10040,12 pcs ,0,2022-03-25 23:52:36.958531,1
41,202214397,10041,2x60 g Multipack ,0,2022-03-25 23:52:36.958531,1
41,202214400,10041,2x60 g Multipack ,0,2022-03-25 23:52:36.958531,1
41,202214393,10041,2 x 70 g Multipack ,0,2022-03-25 23:52:36.958531,1
41,202214394,10041,150 g Pouch ,0,2022-03-25 23:52:36.958531,1
41,202214393,10041,20 g Pouch ,0,2022-03-25 23:52:36.958531,1
42,202214396,10042,Combo 3 Items,0,2022-03-25 23:52:36.958531,1
42,202214391,10042,3x400 ml Multipack ,0,2022-03-25 23:52:36.958531,1
42,202214398,10042,3x400 ml Multipack ,0,2022-03-25 23:52:36.958531,1
42,202214397,10042,400 ml  ,0,2022-03-25 23:52:36.958531,1
42,202214399,10042,3x400 ml Multipack ,0,2022-03-25 23:52:36.958531,1
43,202214399,10043,3x300 ml Multipack ,0,2022-03-25 23:52:36.958531,1
43,202214392,10043,3x400 ml Multipack ,0,2022-03-25 23:52:36.958531,1
43,202214393,10043,3x400 ml Multipack ,0,2022-03-25 23:52:36.958531,1
43,202214396,10043,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
43,202214393,10043,3x400 ml Multipack ,0,2022-03-25 23:52:36.958531,1
44,202214398,10044,3x400 ml Multipack ,0,2022-03-25 23:52:36.958531,1
44,202214396,10044,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
44,202214397,10044,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
44,202214400,10044,2x500 g Multipack ,0,2022-03-25 23:52:36.958531,1
44,202225965,10044,2x400 ml (Multipack) ,0,2022-03-25 23:52:36.958531,1
45,202225973,10045,2x400 ml (Multipack) ,0,2022-03-25 23:52:36.958531,1
45,202225969,10045,2x400 ml (Multipack) ,0,2022-03-25 23:52:36.958531,1
45,202225957,10045,250 ml ,0,2022-03-25 23:52:36.958531,1
45,202225973,10045,35 g ,0,2022-03-25 23:52:36.958531,1
45,202225964,10045,300 ml ,0,2022-03-25 23:52:36.958531,1
46,202225972,10046,300 ml ,0,2022-03-25 23:52:36.958531,1
46,202225975,10046,300 ml  ,0,2022-03-25 23:52:36.958531,1
46,202225964,10046,300 ml ,0,2022-03-25 23:52:36.958531,1
46,202225957,10046,35 g ,0,2022-03-25 23:52:36.958531,1
46,202225966,10046,35 g ,0,2022-03-25 23:52:36.958531,1
47,202225973,10047,35 g ,0,2022-03-25 23:52:36.958531,1
47,202225975,10047,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
47,202225961,10047,2x400 ml (Multipack) ,0,2022-03-25 23:52:36.958531,1
47,202225965,10047,Combo 3 Items,0,2022-03-25 23:52:36.958531,1
47,202225971,10047,200 ml  ,0,2022-03-25 23:52:36.958531,1
48,202225973,10048,100 ml  ,0,2022-03-25 23:52:36.958531,1
48,202225971,10048,200 ml Bottle ,0,2022-03-25 23:52:36.958531,1
48,202225967,10048,120 ml Carton ,0,2022-03-25 23:52:36.958531,1
48,202225963,10048,200 ml ,0,2022-03-25 23:52:36.958531,1
48,202214349,10048,400 ml  ,0,2022-03-25 23:52:36.958531,1
49,202214340,10049,50 ml TUBE ,0,2022-03-25 23:52:36.958531,1
49,202214342,10049,100 ml TUBE,0,2022-03-25 23:52:36.958531,1
49,202214344,10049,2x200 ml (Multipack) ,0,2022-03-25 23:52:36.958531,1
49,202214347,10049,250 g  ,0,2022-03-25 23:52:36.958531,1
49,202214346,10049,3x400 ml Multipack ,0,2022-03-25 23:52:36.958531,1
50,202214344,10050,500 g  ,0,2022-03-25 23:52:36.958531,1
50,202214348,10050,400 ml  ,0,2022-03-25 23:52:36.958531,1
50,202214341,10050,400 ml  ,0,2022-03-25 23:52:36.958531,1
50,202214343,10050,200 ml  ,0,2022-03-25 23:52:36.958531,1
50,202214346,10050,350 ml Each Buy 1 Get 1,0,2022-03-25 23:52:36.958531,1
51,202214348,10051,2x500 ml (Multipack) ,0,2022-03-25 23:52:36.958531,1
51,202214342,10051,400 ml  ,0,2022-03-25 23:52:36.958531,1
51,202214342,10051,400 ml ,0,2022-03-25 23:52:36.958531,1
51,202214341,10051,354 ml ,0,2022-03-25 23:52:36.958531,1
51,202214348,10051,1 pc Carton,0,2022-03-25 23:52:36.958531,1
52,202214348,10052,1 pc Carton,0,2022-03-25 23:52:36.958531,1
52,202214341,10052,1 pc Carton,0,2022-03-25 23:52:36.958531,1
52,202214350,10052,1 pc ,0,2022-03-25 23:52:36.958531,1
52,202214349,10052,1 pc ,0,2022-03-25 23:52:36.958531,1
52,202214555,10052,1 pc Carton,0,2022-03-25 23:52:36.958531,1
53,202214547,10053,200 ml Pouch ,0,2022-03-25 23:52:36.958531,1
53,202214553,10053,1 L Pouch,0,2022-03-25 23:52:36.958531,1
53,202214552,10053,1L Pet Bottle ,0,2022-03-25 23:52:36.958531,1
53,202214556,10053,1 L Pouch,0,2022-03-25 23:52:36.958531,1
53,202214550,10053,500 ml Pouch ,0,2022-03-25 23:52:36.958531,1
54,202214550,10054,1 L Pouch,0,2022-03-25 23:52:36.958531,1
54,202214556,10054,5 L Can ,0,2022-03-25 23:52:36.958531,1
54,202214552,10054,1 L Pouch,0,2022-03-25 23:52:36.958531,1
54,202214552,10054,1 L Pouch ,0,2022-03-25 23:52:36.958531,1
54,202214554,10054,200 ml Bottle ,0,2022-03-25 23:52:36.958531,1
55,202214552,10055,1 L Pouch,0,2022-03-25 23:52:36.958531,1
55,202214552,10055,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
55,202214555,10055,5 L Jar ,0,2022-03-25 23:52:36.958531,1
55,202214556,10055,1 L Pouch ,0,2022-03-25 23:52:36.958531,1
55,202214555,10055,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
56,202214549,10056,1 L Pouch,0,2022-03-25 23:52:36.958531,1
56,202214545,10056,2x2 L Multipack ,0,2022-03-25 23:52:36.958531,1
56,202214550,10056,500 ml Pouch ,0,2022-03-25 23:52:36.958531,1
56,202214550,10056,2x1 L (Multipack) ,0,2022-03-25 23:52:36.958531,1
56,202219580,10056,2x1 L Multipack ,0,2022-03-25 23:52:36.958531,1
57,202220899,10057,2 x 1 L Multipack ,0,2022-03-25 23:52:36.958531,1
57,202220159,10057,5 L Can ,0,2022-03-25 23:52:36.958531,1
57,202219651,10057,1 L Bottle,0,2022-03-25 23:52:36.958531,1
57,202220235,10057,1 L Pouch ,0,2022-03-25 23:52:36.958531,1
57,202220858,10057,1 L Bottle ,0,2022-03-25 23:52:36.958531,1
58,202221095,10058,5 L Can,0,2022-03-25 23:52:36.958531,1
58,202220125,10058,1 L ,0,2022-03-25 23:52:36.958531,1
58,202220650,10058,2x1L Multipack ,0,2022-03-25 23:52:36.958531,1
58,202221007,10058,500 ml  ,0,2022-03-25 23:52:36.958531,1
58,202219522,10058,1 L Pouch ,0,2022-03-25 23:52:36.958531,1
59,202219510,10059,5 L Can,0,2022-03-25 23:52:36.958531,1
59,202221127,10059,1 L Pouch ,0,2022-03-25 23:52:36.958531,1
59,202219611,10059,2x1L Multipack ,0,2022-03-25 23:52:36.958531,1
59,202220694,10059,500 ml Carton ,0,2022-03-25 23:52:36.958531,1
59,202220842,10059,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
60,202220317,10060,3 L Can,0,2022-03-25 23:52:36.958531,1
60,202219429,10060,1 L Pouch,0,2022-03-25 23:52:36.958531,1
60,202220820,10060,500 ml Jar ,0,2022-03-25 23:52:36.958531,1
60,202220214,10060,500 ml Pouch ,0,2022-03-25 23:52:36.958531,1
60,202219100,10060,5 L Can ,0,2022-03-25 23:52:36.958531,1
61,202219493,10061,1 L Jar ,0,2022-03-25 23:52:36.958531,1
61,202220314,10061,5 L Can ,0,2022-03-25 23:52:36.958531,1
61,202220376,10061,1 L Pouch,0,2022-03-25 23:52:36.958531,1
61,202219103,10061,5 L Jar ,0,2022-03-25 23:52:36.958531,1
61,202219900,10061,1 L Pouch,0,2022-03-25 23:52:36.958531,1
62,202220985,10062,5 L Jar,0,2022-03-25 23:52:36.958531,1
62,202220326,10062,1 L Pouch ,0,2022-03-25 23:52:36.958531,1
62,202221155,10062,1 L ,0,2022-03-25 23:52:36.958531,1
62,202220175,10062,3 L ,0,2022-03-25 23:52:36.958531,1
62,202220619,10062,5 L ,0,2022-03-25 23:52:36.958531,1
63,202219302,10063,2 pcs ,0,2022-03-25 23:52:36.958531,1
63,202219327,10063,3 L ,0,2022-03-25 23:52:36.958531,1
63,202219077,10063,2 L ,0,2022-03-25 23:52:36.958531,1
63,202219552,10063,2 Pcs (5L+3L),0,2022-03-25 23:52:36.958531,1
63,202220820,10063,3 L ,0,2022-03-25 23:52:36.958531,1
64,202221119,10064,5 L ,0,2022-03-25 23:52:36.958531,1
64,202220000,10064,3 L ,0,2022-03-25 23:52:36.958531,1
64,202219590,10064,1.5 L ,0,2022-03-25 23:52:36.958531,1
64,202219154,10064,2 L ,0,2022-03-25 23:52:36.958531,1
64,202219281,10064,1.5 L ,0,2022-03-25 23:52:36.958531,1
65,202220336,10065,2 L ,0,2022-03-25 23:52:36.958531,1
65,202220377,10065,1 pc ,0,2022-03-25 23:52:36.958531,1
65,202219960,10065,3 L ,0,2022-03-25 23:52:36.958531,1
65,202221021,10065,5 L ,0,2022-03-25 23:52:36.958531,1
65,202220950,10065,1 pc ,0,2022-03-25 23:52:36.958531,1
66,202220144,10066,1 pc ,0,2022-03-25 23:52:36.958531,1
66,202219514,10066,7.5 L ,0,2022-03-25 23:52:36.958531,1
66,202221019,10066,12 L ,0,2022-03-25 23:52:36.958531,1
66,202219185,10066,10 L ,0,2022-03-25 23:52:36.958531,1
66,202219580,10066,2 pcs ,0,2022-03-25 23:52:36.958531,1
67,202220899,10067,3 L ,0,2022-03-25 23:52:36.958531,1
67,202220159,10067,5 L ,0,2022-03-25 23:52:36.958531,1
67,202220235,10067,1 pc ,0,2022-03-25 23:52:36.958531,1
67,202220858,10067,1 pc ,0,2022-03-25 23:52:36.958531,1
68,202221095,10068,1 pc ,0,2022-03-25 23:52:36.958531,1
68,202220125,10068,1 pc ,0,2022-03-25 23:52:36.958531,1
68,202220650,10068,1 pc ,0,2022-03-25 23:52:36.958531,1
68,202221007,10068,3 L (Handi),0,2022-03-25 23:52:36.958531,1
68,202219522,10068,4 L ,0,2022-03-25 23:52:36.958531,1
69,202219510,10069,3 L ,0,2022-03-25 23:52:36.958531,1
69,202221127,10069,5 L ,0,2022-03-25 23:52:36.958531,1
69,202219611,10069,2 L ,0,2022-03-25 23:52:36.958531,1
69,202220694,10069,3.5 L ,0,2022-03-25 23:52:36.958531,1
69,202220842,10069,3 L ,0,2022-03-25 23:52:36.958531,1
70,202220150,10070,7.5 L ,0,2022-03-25 23:52:36.958531,1
70,202219114,10070,4 L ,0,2022-03-25 23:52:36.958531,1
70,202219979,10070,2 L ,0,2022-03-25 23:52:36.958531,1
70,202221088,10070,10 L ,0,2022-03-25 23:52:36.958531,1
70,202220577,10070,1.5 L ,0,2022-03-25 23:52:36.958531,1
71,202220815,10071,3 L ,0,2022-03-25 23:52:36.958531,1
71,202219420,10071,1.5 L ,0,2022-03-25 23:52:36.958531,1
71,202220487,10071,3 L ,0,2022-03-25 23:52:36.958531,1
71,202219720,10071,3 L ,0,2022-03-25 23:52:36.958531,1
71,202219800,10071,1.5 L ,0,2022-03-25 23:52:36.958531,1
72,202219199,10072,3 L ,0,2022-03-25 23:52:36.958531,1
72,202217345,10072,5 kg  ,0,2022-03-25 23:52:36.958531,1
72,202214465,10072,1 kg Pouch,0,2022-03-25 23:52:36.958531,1
72,202222097,10072,5 kg Pouch ,0,2022-03-25 23:52:36.958531,1
72,202220919,10072,1 kg  ,0,2022-03-25 23:52:36.958531,1
73,202215634,10073,1 kg  ,0,2022-03-25 23:52:36.958531,1
73,202221164,10073,1 kg  ,0,2022-03-25 23:52:36.958531,1
73,202228519,10073,Combo 3 Items,0,2022-03-25 23:52:36.958531,1
73,202218017,10073,1 kg ,0,2022-03-25 23:52:36.958531,1
74,202212060,10074,Combo 2 Items,0,2022-03-25 23:52:36.958531,1
74,202221619,10074,1 Kg Pouch,0,2022-03-25 23:52:36.958531,1
74,202218920,10074,900 g ,0,2022-03-25 23:52:36.958531,1
74,202218807,10074,1 kg Pouch,0,2022-03-25 23:52:36.958531,1
74,202213660,10074,1 kg ,0,2022-03-25 23:52:36.958531,1
75,202213710,10075,2 kg  ,0,2022-03-25 23:52:36.958531,1
75,202225771,10075,2x500 g Multipack ,0,2022-03-25 23:52:36.958531,1
75,202219609,10075,5 kg Pouch ,0,2022-03-25 23:52:36.958531,1
75,202221526,10075,450 g ,0,2022-03-25 23:52:36.958531,1
75,202223962,10075,1 kg Pouch,0,2022-03-25 23:52:36.958531,1
76,202226178,10076,400 g ,0,2022-03-25 23:52:36.958531,1
76,202218857,10076,100 g ,0,2022-03-25 23:52:36.958531,1
76,202218261,10076,500 g Pouch ,0,2022-03-25 23:52:36.958531,1
